stop_id,name,latitude,longitude,line,network,operator,shelter,bench,source,data_retrieved
3118523798,Pompignane,43.6126573,3.8949896,42137,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3118564775,Du Guesclin,43.6071804,3.8833017,41138,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119065612,Antigone,43.6084999,3.8866241,41217,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119065613,Du Guesclin,43.6070636,3.8831972,41218,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119065614,Léon Blum,43.6089494,3.8900989,41215,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119254607,Boirargues,43.5826143,3.9257823,43149,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119254608,Parc Expo,43.5729444,3.9456566,43205,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119255451,Pérols - Centre,43.5653949,3.9573136,43155,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3119255452,Écopôle,43.5781392,3.9350421,43207,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3122456979,Place Carnot,43.6037618,3.8842324,42241,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3122456986,Voltaire,43.6037185,3.8889694,42239,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3122483715,Millénaire,43.6033754,3.90986,41203,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123033194,Halles de la Paillade,43.627657,3.817535,41103,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123033195,Plan Cabanes,43.6085626,3.8681304,43237,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123033218,Arceaux,43.6100217,3.8615025,43239,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123039811,Stade de la Mosson,43.6213447,3.8174028,41163,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123039812,Tonnelles,43.6135181,3.8395235,43245,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123093631,Boutonnet  - Cité des Arts,43.6226771,3.868106,41233,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123093632,Euromédecine,43.6390018,3.8277875,41109,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123093685,Saint-Éloi,43.6270802,3.8656448,41235,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123093686,Stade Philippidès,43.6190802,3.8695186,41231,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3123093687,Université Montpellier - Triolet,43.6291152,3.8614592,41237,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124581464,Victoire 2,43.5751577,3.8497681,42263,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124627562,Port Marianne,43.601566,3.8994636,41207,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124627566,Pérols Étang de l'Or,43.5579564,3.9636474,43201,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124636918,Place Carnot,43.6037042,3.8842576,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124636922,Rives du Lez - Consuls de Mer,43.6040207,3.8938614,42237,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124664050,Juvignac,43.6174206,3.8099711,43101,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124664051,Juvignac,43.6175115,3.810219,43257,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124664054,Mosson,43.6163397,3.8196588,43255,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124667075,Hôpital Lapeyronie,43.6316849,3.8525756,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124671372,Aiguelongue,43.626303,3.8832003,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124671375,Jeu de Mail des Abbés,43.6204066,3.8840474,Unknown,TAM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124678226,Mosson,43.6162684,3.8197433,41255,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3124678227,Mosson,43.6162888,3.8198414,41101,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3127567487,Lattes Centre,43.570666,3.9052229,43259,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3127567488,Lattes Centre,43.570728,3.9051692,43163,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3728561514,Peyrou - Arc de Triomphe,43.6117993,3.8723484,44103,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
3728561636,Saint-Guilhem - Courreau,43.6081132,3.8735064,44204,TaM,TaM,unknown,unknown,OpenStreetMap,2025-12-16 09:57:42
