bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Foch,43.6109947,3.8733344,Observatoire,43.606427,3.8766896,43233,0.5752746365488062,575.2746365488061,False,True
Foch,43.6109947,3.8733344,Plan Cabanes,43.6085497,3.8680755,43121,0.5031717695214697,503.1717695214697,False,True
Foch,43.6109947,3.8733344,Rondelet,43.6031345,3.8759259,42245,0.8985753282691692,898.5753282691692,False,False
Foch,43.6109947,3.8733344,Observatoire,43.6063438,3.8768143,43125,0.5881746097833723,588.1746097833724,False,True
Foch,43.6109947,3.8733344,Gambetta,43.6055891,3.8739545,43123,0.6031452030740965,603.1452030740965,False,True
Foch,43.6109947,3.8733344,Gambetta - Chaptal,43.6062372,3.8727299,43235,0.5312440096443608,531.2440096443609,False,True
Foch,43.6109947,3.8733344,Gare Saint-Roch République,43.6052424,3.8797132,43127,0.8202958162653494,820.2958162653495,False,False
Foch,43.6109947,3.8733344,Arceaux,43.609864,3.8624768,43119,0.8831437938017767,883.1437938017766,False,False
Foch,43.6109947,3.8733344,Comédie,43.6083781,3.8798137,41223,0.5973099178971529,597.3099178971529,False,True
Foch,43.6109947,3.8733344,Gare Saint-Roch,43.6056635,3.8802526,41221,0.8134309876238236,813.4309876238236,False,False
Foch,43.6109947,3.8733344,Corum,43.6141886,3.881667,41225,0.759044797556854,759.044797556854,False,True
Foch,43.6109947,3.8733344,Corum,43.6144479,3.8821386,42229,0.8061259327541628,806.1259327541628,False,False
Foch,43.6109947,3.8733344,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,0.5640912353211691,564.0912353211692,False,True
Foch,43.6109947,3.8733344,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,0.6258552527610513,625.8552527610512,False,True
Foch,43.6109947,3.8733344,Du Guesclin,43.6071804,3.8833017,41138,0.9076750065193646,907.6750065193646,False,False
Foch,43.6109947,3.8733344,Du Guesclin,43.6070636,3.8831972,41218,0.9064369678986672,906.4369678986673,False,False
Foch,43.6109947,3.8733344,Plan Cabanes,43.6085626,3.8681304,43237,0.4986787776733083,498.67877767330833,False,True
Foch,43.6109947,3.8733344,Arceaux,43.6100217,3.8615025,43239,0.9587127445078822,958.7127445078822,False,False
Foch,43.6109947,3.8733344,Stade Philippidès,43.6190802,3.8695186,41231,0.9500973222681941,950.0973222681941,False,False
Foch,43.6109947,3.8733344,Peyrou - Arc de Triomphe,43.6117993,3.8723484,44103,0.119607280656064,119.607280656064,True,True
Foch,43.6109947,3.8733344,Saint-Guilhem - Courreau,43.6081132,3.8735064,44204,0.3207072945626855,320.7072945626855,True,True
Foch,43.6109947,3.8733344,Saint-Guilhem - Courreau,43.6081284,3.8735437,44104,0.31916317588746196,319.16317588746193,True,True
Foch,43.6109947,3.8733344,Peyrou - Arc de Triomphe,43.611415,3.8722575,44203,0.09849436961859713,98.49436961859713,True,True
Foch,43.6109947,3.8733344,Albert 1er - Jardin des Plantes,43.6148176,3.8737832,44102,0.42661987407449714,426.61987407449715,False,True
Foch,43.6109947,3.8733344,Albert 1er - Jardin des Plantes,43.6148246,3.873733,44202,0.4270727735638298,427.0727735638298,False,True
Foch,43.6109947,3.8733344,Parc Clemenceau,43.6031532,3.8717667,Unknown,0.8810237912911959,881.023791291196,False,False
Foch,43.6109947,3.8733344,Parc Clemenceau,43.6033971,3.8721461,Unknown,0.8502149539791836,850.2149539791835,False,False
Foch,43.6109947,3.8733344,Gambetta - Saint-Denis,43.6050726,3.8745319,Unknown,0.6655283068091036,665.5283068091036,False,True
Fac de Lettres,43.6353331,3.8687709,Saint-Éloi,43.6269229,3.8657829,41121,0.965596921452466,965.596921452466,False,False
Fac de Lettres,43.6353331,3.8687709,Université Montpellier - Triolet,43.6291563,3.8616709,41119,0.8934481573069264,893.4481573069264,False,False
Fac de Lettres,43.6353331,3.8687709,Saint-Éloi,43.6270802,3.8656448,41235,0.9515452474143163,951.5452474143163,False,False
