departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Père Soulas,FacdesSciences,Hôpitaux-Facultés,Hôpitaux-Facultés,1026,1422.57466356366,2011.8714548746625,1.4142466517959544,13.968093872070312,21.21383661719508,43.6219699,3.855618,43.633469,3.863365
Louis Blanc,Fac de Lettres,Centre,Hôpitaux-Facultés,1022,2408.3817470996128,2723.3439086147014,1.1307775073010722,34.41537857055664,42.40753942452406,43.614645,3.8776294,43.6353331,3.8687709
Les Aubes,Corum,Centre,Centre,1006,944.0581474045345,1076.5429996908783,1.1403354789644895,4.176151275634766,8.439523033393318,43.6192157,3.8913335,43.6141888,3.8818829
FacdesSciences,Corum,Hôpitaux-Facultés,Centre,1005,2611.105891637289,3064.2984014988324,1.173563435827327,0.0,13.527345293416596,43.633469,3.863365,43.6141888,3.8818829
Place Viala,Les Arceaux,Les Cévennes,Centre,1003,805.9624720594139,1306.9317647896794,1.621578932143301,0.0,5.76945027566404,43.6168167,3.8550842,43.6126513,3.8632773
Comédie,Plan Cabanes,Centre,Centre,980,1040.859830270686,2175.113273910268,2.089727368328364,1.9634742736816408,11.335588983910398,43.6091864,3.8815041,43.6084996,3.868611
Albert 1er - Cathédrale,Boutonnet,Centre,Centre,933,750.7333788174235,1156.768609433398,1.5408514421665556,0.6689834594726562,5.697200522712144,43.6148176,3.8737832,43.6199984,3.8678033
Aiguelongue,Corum,Hôpitaux-Facultés,Centre,931,2478.09574845782,3393.549196734676,1.3694181101947192,0.0,14.980822928985226,43.636472,3.8823753,43.6141888,3.8818829
Comédie,Port Marianne,Centre,Port Marianne,912,2866.3340728376807,3473.7336130747053,1.2119081463647037,0.0,15.334797034918289,43.6091864,3.8815041,43.6059165,3.9168169
Médiathèque Emile Zola,Place Albert 1er - St Charles,Centre,Centre,905,1793.9397974361734,2335.8921595899315,1.302101755548483,5.596038818359375,15.252538611239244,43.6082468,3.8930561,43.6166028,3.8739949
Pérols Etang de l'Or,Port Marianne,,Port Marianne,900,6532.146382519086,8305.112019471884,1.271421602200694,22.46555995941162,56.49775989812316,43.5579564,3.9636474,43.6059165,3.9168169
Hôtel de Ville,Nombre d'Or,Prés d'Arènes,Centre,896,1316.66750236921,2561.85936334675,1.9457147371959456,16.03269386291504,25.464593571061915,43.5985194,3.8966319,43.6079002,3.8866534
FacdesSciences,Père Soulas,Hôpitaux-Facultés,Hôpitaux-Facultés,892,1422.57466356366,2054.1827869708727,1.4439894366071342,0.0,9.068189913082918,43.633469,3.863365,43.6219699,3.855618
Place Albert 1er - St Charles,Corum,Centre,Centre,880,689.4148061956683,954.2743374241244,1.3841802190034256,0.0,4.212644062558797,43.6166028,3.8739949,43.6141888,3.8818829
Garcia Lorca,Hôtel de Ville,Prés d'Arènes,Prés d'Arènes,879,1421.643646775961,2323.7112746579205,1.6345244322849055,0.0,10.25802342197739,43.5877543,3.8871086,43.5985194,3.8966319
Corum,Les Aubes,Centre,Centre,877,944.0581474045345,1170.688919202854,1.2400601831798048,0.0,5.168006233821,43.6141888,3.8818829,43.6192157,3.8913335
Comédie,FacdesSciences,Centre,Hôpitaux-Facultés,865,3069.6088868604934,4164.364854801232,1.3566434709734057,14.672466278076172,31.33790912843349,43.6091864,3.8815041,43.633469,3.863365
Vert Bois,Boutonnet,Hôpitaux-Facultés,Centre,853,1752.028210935482,2406.703987578867,1.3736673716536936,0.0,10.624394753166907,43.6354897,3.8717793,43.6199984,3.8678033
Halles Castellane,Médiathèque Emile Zola,Centre,Centre,851,1321.9089717698057,2028.4074382462488,1.534453189715904,0.0,8.954404636138067,43.6101245,3.8768434,43.6082468,3.8930561
Vert Bois,Place Albert 1er - St Charles,Hôpitaux-Facultés,Centre,847,2107.685398181493,2709.704256756575,1.2856303218186655,0.0,11.9619894414519,43.6354897,3.8717793,43.6166028,3.8739949
Louis Blanc,Place Albert 1er - St Charles,Centre,Centre,845,364.6925908112045,432.494086609697,1.1859141027452136,0.0,1.9092451453385075,43.614645,3.8776294,43.6166028,3.8739949
Rue Jules Ferry - Gare Saint-Roch,Richter,Centre,Port Marianne,843,1477.8501424459992,1803.4780996452223,1.2203389557890316,0.0,7.961454070883834,43.6053253,3.8812294,43.6056173,3.8995795
Plan Cabanes,Rue Jules Ferry - Gare Saint-Roch,Centre,Centre,838,1075.5373817542786,1498.204316638734,1.392982096256901,0.0,6.613822955801691,43.6084996,3.868611,43.6053253,3.8812294
Nombre d'Or,Antigone centre,Centre,Centre,833,306.9429470416635,325.9109174616297,1.0617964041942674,0.0,1.4387337451343645,43.6079002,3.8866534,43.6079062,3.8904657
Hôtel de Ville,Port Marianne,Prés d'Arènes,Port Marianne,832,1821.5954770169355,2785.0952060502723,1.5289317750234943,13.12063217163086,23.879008931441813,43.5985194,3.8966319,43.6059165,3.9168169
Nombre d'Or,Richter,Centre,Port Marianne,826,1071.257864668798,1271.5505331150891,1.186969613061572,0.0,5.613259828436561,43.6079002,3.8866534,43.6056173,3.8995795
Comédie,Antigone centre,Centre,Centre,818,735.4319599219278,921.7831649558428,1.2533901369389733,0.0,4.069211781697568,43.6091864,3.8815041,43.6079062,3.8904657
Place Albert 1er - St Charles,Médiathèque Emile Zola,Centre,Centre,816,1793.9397974361734,2253.5132799956714,1.2561811066437691,0.0,9.948134374540892,43.6166028,3.8739949,43.6082468,3.8930561
Médiathèque Emile Zola,Boutonnet,Centre,Centre,814,2416.7211232316827,3034.363946656745,1.2555705817637492,12.667903900146484,24.57969199595554,43.6082468,3.8930561,43.6199984,3.8678033
Occitanie,Charles Flahault,Hôpitaux-Facultés,Centre,804,2223.8852365480934,2251.5907077006805,1.0124581388901126,0.0,9.939647179144655,43.6343515,3.8486697,43.6187686,3.8659891
Comédie,Renouvier,Centre,Centre,791,1287.1454621843718,2300.930684408504,1.7876228849097373,3.120277404785156,12.912351427006158,43.6091864,3.8815041,43.6031881,3.8678316
Louis Blanc,Médiathèque Emile Zola,Centre,Centre,791,1431.324154998663,1951.1400312353803,1.3631713154713043,0.0,8.613307667888588,43.614645,3.8776294,43.6082468,3.8930561
Corum,Aiguelongue,Centre,Hôpitaux-Facultés,790,2478.09574845782,3394.407047094026,1.3697642834044848,49.8335075378418,58.98261371455711,43.6141888,3.8818829,43.636472,3.8823753
Corum,Place Albert 1er - St Charles,Centre,Centre,789,689.4148061956683,1078.0331558445182,1.5636930715099162,3.0111122131347656,7.417488339452311,43.6141888,3.8818829,43.6166028,3.8739949
Rue Jules Ferry - Gare Saint-Roch,Voltaire,Centre,Centre,789,648.3162010440633,1003.4472587452104,1.547774461179955,0.0,4.429717923730732,43.6053253,3.8812294,43.6037185,3.8889694
Hôtel de Ville,Prés d'Arènes,Prés d'Arènes,Prés d'Arènes,783,898.198637082896,1544.9722463450871,1.7200785912598748,6.303350448608398,12.385508092566743,43.5985194,3.8966319,43.5936317,3.8877518
Boutonnet,Père Soulas,Centre,Hôpitaux-Facultés,766,1005.0687202979242,1355.0588449667555,1.3482250691923698,2.015827178955078,7.761681087405181,43.6199984,3.8678033,43.6219699,3.855618
Port Marianne,Rue Jules Ferry - Gare Saint-Roch,Port Marianne,Centre,761,2866.1425267501486,3999.441976413479,1.3954093137679209,6.999055862426758,23.835003025813887,43.6059165,3.9168169,43.6053253,3.8812294
Antigone centre,Nombre d'Or,Centre,Centre,760,306.9429470416635,325.9109174616297,1.0617964041942674,4.705636978149414,5.593340633142483,43.6079062,3.8904657,43.6079002,3.8866534
Médiathèque Emile Zola,Occitanie,Centre,Hôpitaux-Facultés,759,4603.417249535289,5267.658102752025,1.1442929930550594,24.167316436767575,44.59140037662091,43.6082468,3.8930561,43.6343515,3.8486697
Place Viala,Foch,Les Cévennes,Centre,747,1605.5447499338188,1801.3512707150094,1.1219564392641574,6.427150726318359,13.626596560837893,43.6168167,3.8550842,43.6109947,3.8733344
Occitanie,Albert 1er - Cathédrale,Hôpitaux-Facultés,Centre,746,2967.157717146858,3327.590607259574,1.1214741259050087,0.0,14.68964873574739,43.6343515,3.8486697,43.6148176,3.8737832
Médiathèque Emile Zola,Louis Blanc,Centre,Centre,744,1431.324154998663,2037.4032949164289,1.423439468831106,6.196399688720703,14.464918130580084,43.6082468,3.8930561,43.614645,3.8776294
Rue Jules Ferry - Gare Saint-Roch,Nombre d'Or,Centre,Centre,739,522.2041127163859,1268.5686720187057,2.4292582940794984,0.0,5.600096402626576,43.6053253,3.8812294,43.6079002,3.8866534
Richter,Nombre d'Or,Port Marianne,Centre,739,1071.257864668798,1188.85420090533,1.1097740703849015,12.057302474975586,15.893589225052525,43.6056173,3.8995795,43.6079002,3.8866534
