city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,rang
Clermont-Ferrand,82,0,0,82,1,1,1716,0.8532889874353289,1,1.44,CVelo_FR_Clermont-Ferrand,148000.0,0.5540540540540541,11.594594594594597,0.3085,0.2762951334379906,0.5273728856952671,0.8919980393051105,0.30843696892382333,0.4408670351590803,0.20275290721445663,0.0,0.3068320913221471,22
Mulhouse,60,0,0,60,1,1,955,0.8427333453692002,1,1.394,nextbike_af,112000.0,0.5357142857142857,8.526785714285714,0.3115,0.2794348508634223,0.49336805836746905,0.8729656071357813,0.30048713816905903,0.4289956055183584,0.19510422029619523,0.0,0.29653553052913506,23
FR,49,0,0,49,1,1,755,0.8492769293147723,1,1.102,nextbike_ah,,,,0.289,0.25588697017268447,0.5144481064384565,0.7428892724547594,0.24615436363377757,,0.23743472409678526,0.0,0.29022419900269275,24
Caen,75,0,0,75,1,1,930,0.8340800477897252,1,0.77,twisto_velolib_caen,108000.0,0.6944444444444444,8.61111111111111,0.1882,0.15039246467817896,0.4654916025192444,0.5709795465857378,0.17434781712423517,0.5273549257172012,0.2584765072458088,0.0,0.23513167954498312,25
Longwy,39,0,0,39,1,1,450,0.8101424501424501,1,0.296,vertuose,15000.0,2.6,30.0,0.0841,0.04144427001569858,0.38837702535393237,0.2592825979300829,0.0441522663641954,1.2809338454620642,0.7440026317117764,0.0,0.22995838537279822,26
Valence,68,0,0,68,1,1,769,0.853686988449476,1,0.447,libelo,63000.0,1.0793650793650793,12.206349206349206,0.1072,0.06562009419152277,0.5286550394171888,0.3694924476493468,0.09018682700159372,0.7320625968096188,0.39036836301534916,0.0,0.22844240796437515,27
Niort,51,0,0,51,1,1,712,0.7763824630975986,1,0.9,tanlib,60000.0,0.85,11.866666666666667,0.2405,0.20512820512820512,0.27961978227417456,0.6418538861723948,0.20395196858300657,0.6151856390902334,0.3150652795107329,0.0,0.2194935927502164,28
Annecy,80,0,0,80,1,1,874,0.9088672768878718,1,0.204,velonecy60minutes_annecy,130000.0,0.6153846153846154,6.723076923076923,0.0581,0.014233385661957091,0.7064174311779693,0.1856493468866293,0.01339571993279102,0.4795730802618863,0.22769096689178006,0.0,0.21770716251340463,29
Avignon,29,0,0,29,1,1,520,0.8289124668435013,1,0.792,velopop,94000.0,0.3085106382978723,5.531914893617022,0.215,0.17844060701203557,0.44884432548219616,0.5833323145527387,0.1795075578140659,0.2688895731024135,0.09194891779801087,0.0,0.21543711270667454,30
Reims,63,0,0,63,1,1,691,0.7717593549720901,1,1.128,zebullo,184000.0,0.3423913043478261,3.755434782608696,0.2829,0.24950287807430666,0.2647265154751695,0.7551825714793979,0.25128926419688463,0.2944525790189916,0.10841900058188024,0.0,0.20755319521774335,31
Troyes,30,0,0,30,1,1,406,0.7436781609195402,1,1.125,lemarcel,61000.0,0.4918032786885246,6.655737704918033,0.3132,0.2812140240711669,0.17426341063198292,0.7537718023763802,0.25069998714058095,0.3999856423435388,0.17641328478549995,0.0,0.204532050025287,32
Auxerre,55,0,0,55,1,1,690,0.8408480944712828,1,0.166,auxrmlevelo,35000.0,1.5714285714285714,19.714285714285715,0.0464,0.001988487702773416,0.48729475360290464,0.1535790879283006,0.0,0.9444616088408514,0.5272157010311731,0.0,0.20150258986623415,33
Calais,89,0,0,89,2,2,999,0.7572631454984396,1,0.74,calais + calais-velos,75000.0,1.1866666666666668,13.32,0.1636,0.12464678178963892,0.21802721504693295,0.5538851132264376,0.16720748682666906,0.7823783142878881,0.4227864610630223,0.0,0.18876030482341205,34
Soissons,28,0,0,28,1,1,341,0.6895840121646573,1,1.197,cyclovis,29000.0,0.9655172413793104,11.758620689655173,0.302,0.26949241234955523,0.0,0.7870927934024732,0.2646181367959539,0.6757554378480761,0.35409001717262983,0.0,0.18688485363995183,35
Libourne,66,0,0,66,1,1,725,0.7727690700104493,1,0.174,calivelo,26000.0,2.5384615384615383,27.884615384615383,0.0465,0.0020931449502878093,0.26797929586641245,0.1604167214059047,0.0028560736970685598,1.2636920390275583,0.7328938450437891,0.0,0.17812805894767153,36
Brive-la-Gaillarde,26,0,0,26,1,1,315,0.7735042735042735,1,0.726,velibeo,47000.0,0.5531914893617021,6.702127659574468,0.1922,0.15457875457875458,0.270347741831297,0.5458065926612362,0.1638330956468739,0.4403118394383326,0.2023951981284514,0.0,0.17708646068009312,37
Ardenne Métropole,34,0,0,34,1,1,308,0.8405271199388846,1,0.241,cyclam,72000.0,0.4722222222222222,4.277777777777778,0.0686,0.025222396650968076,0.4862607394252313,0.2159175062224701,0.02603870438361409,0.3867729750960118,0.167900446973208,0.0,0.15952471177430227,38
Louviers,40,0,0,40,1,1,390,0.7405128205128205,1,0.216,semo,18000.0,2.2222222222222223,21.666666666666668,0.0615,0.017791732077446363,0.1640663185659689,0.1955667835439752,0.017538224802665186,1.1700712526502546,0.6725745654192764,0.0,0.15074792903815062,39
Saint-Étienne,97,0,0,97,1,1,1790,0.7724045623836127,1,0.307,velivert_saint_etienne,174000.0,0.5574712643678161,10.28735632183908,0.0785,0.035583464154892726,0.2668050405409105,0.2677344346420849,0.047682591381488636,0.4430635216651719,0.20416808955674598,0.0,0.11753803109150505,40
Strasbourg,39,25,0,64,2,1,516,0.7268932617769828,2,0.291,nextbike_ae,290000.0,0.1344827586206896,1.7793103448275862,0.0823,0.03956043956043956,0.12019113407301642,0.2554171118645054,0.042537656117179155,0.1261768277848521,0.0,0.5,0.1004234466098218,41
Cherbourg-en-Cotentin,49,0,0,49,1,1,496,0.700213956550362,1,0.337,capcotentin,80000.0,0.6125,6.2,0.0837,0.041025641025641026,0.034244191028405736,0.2904282981198061,0.057161798884476374,0.4777857696877905,0.22653941401056152,0.0,0.06628201194327324,42
