rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD
48,Brive-la-Gaillarde,26,0,0,26,1,1,315,0.7735,1,0.54,Vélibéo,49000.0,0.5306122448979592,6.428571428571429,0.1922,0.1922,0.7735,0.43178241642553783,0.26534031762498855,0.4256678154256839,0.2878725360830112,0.3333333333333333,0.3288
49,Chantrerie,16,0,0,16,1,1,224,0.827,1,0.21,Naolib Micromob',,,,0.1825,0.1825,0.827,0.19062035960864973,0.11714063574673426,,,0.3333333333333333,0.3279
50,Avignon,29,0,0,29,1,1,520,0.8289,1,0.71,Vélopop,94000.0,0.30851063829787234,5.531914893617022,0.215,0.215,0.8289,0.5364933705145685,0.3296876295113919,0.26888957310241357,0.18184584441241156,0.3333333333333333,0.3276
51,Laon,19,0,0,19,1,1,176,0.7664,1,0.41,Vélo'Cité,25000.0,0.76,7.04,0.1427,0.1427,0.7664,0.3435897043900769,0.21114384890951474,0.5653138090500605,0.3823129538963231,0.3333333333333333,0.3276
52,Pointe-à-Pitre,14,0,0,14,1,1,180,0.8198,1,0.25,Karu'Vélo,16000.0,0.875,11.25,0.0998,0.0998,0.8198,0.22314355131420976,0.13712689199304418,0.6286086594223741,0.42511827869977603,0.3333333333333333,0.3247
53,Royan,8,0,0,8,1,1,80,1.0,1,0.32,VéloModalis - TERRA,19000.0,0.4210526315789474,4.2105263157894735,0.1291,0.1291,1.0,0.2776317365982795,0.1706111466548539,0.35139788683788864,0.23764493624464508,0.3333333333333333,0.322
54,Annecy,80,0,0,80,1,1,874,0.9089,1,0.16,Vélonecy,130000.0,0.6153846153846154,6.723076923076923,0.0581,0.0581,0.9089,0.1484200051182733,0.0912075383384135,0.4795730802618863,0.3243278299395729,0.3333333333333333,0.3089
55,Ardenne Métropole,34,0,0,34,1,1,308,0.8405,1,0.13,Cycl'AM,52000.0,0.6538461538461539,5.923076923076923,0.0686,0.0686,0.8405,0.12221763272424921,0.07510557228079945,0.5031035776720805,0.34024114008258494,0.3333333333333333,0.3072
56,Saint-Étienne,97,0,0,97,1,1,1790,0.7724,1,0.24,Vélivert,175000.0,0.5542857142857143,10.22857142857143,0.0785,0.0785,0.7724,0.2151113796169455,0.13219093603862173,0.44101609237248324,0.2982523375363136,0.3333333333333333,0.3023
57,Cherbourg-en-Cotentin,49,0,0,49,1,1,496,0.7002,1,0.17,CapCotentin,79000.0,0.620253164556962,6.2784810126582276,0.0837,0.0837,0.7002,0.15700374880966478,0.09648244808656922,0.48258241145259567,0.326362993911077,0.3333333333333333,0.2997
58,La Réunion,31,0,0,31,1,1,448,0.7958,1,0.19,Altervelo Libre-service,130000.0,0.23846153846153847,3.4461538461538463,0.1002,0.1002,0.7958,0.17395330712343804,0.10689834511130472,0.21386991452888057,0.14463690336962898,0.3333333333333333,0.2884
