row_id,station_id,system_id,system_name,city,station_name,lat,lon,capacity,is_virtual_station_hint,label
379,stn_gnvsYc9fSY9i8PnQdVf8An,impulsyon,Impulsyon,La Roche-sur-Yon,Joffre,46.66478,-1.42358,8.0,False,
380,40,calais-velos,Vel’in,Calais,36 : Conservatoire,50.94934,1.84846,12.0,False,
381,10120,lyon,Vélo'v,Lyon,SALENGRO / DESCARTES,45.77624,4.87163,15.0,False,
382,887,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,Général Ferrié (13),45.1791,5.72389,1.0,False,
383,cdbudsfs9nk7sv35797g,ti_velo,Ti Vélo,Landerneau,Base de canoë-kayak,48.45712,-4.24042,10.0,False,
384,695cf7ab-25cd-46cb-a02a-03ddc1db6980,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.84656,-0.57985,,True,
385,305,citiz_lille_arras,Citiz Lille Arras,Lille,LOMME-LAMBERSART,50.64067,3.01879,5.0,False,
386,st_d0q8h2a5u9tmfvdh5fag,velonecy60minutes_annecy,Vélonecy,Annecy,Bluffy - Mairie,45.86865,6.21836,10.0,False,
387,6d7d2282-4ccd-413c-a28c-ab56d947b73c,dott-paris,Dott Paris,Paris,id_50516,48.83938,2.35972,,True,
388,stn_GUp5ay6igcNByk6wKpdYc4,capcotentin,CapCotentin,Cherbourg-en-Cotentin,Campus - Aragon,49.63563,-1.64566,8.0,False,
389,cirqbqcg3q5td18hqplg,velozef,VéloZef,Brest,Saint-Marc,48.39814,-4.45378,10.0,False,
390,51,calais-velos,Vel’in,Calais,47 : Détroit,50.93917,1.87467,18.0,False,
391,perpignan_parking_Rue_du_Moulin_zidZCR0ZWYU,pony_Perpignan,Pony Perpignan,Perpignan,perpignan_parking_Rue_du_Moulin_zidZCR0ZWYU,42.65242,2.83087,,True,
392,1181,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 4ème - Cours d'Herbouville,45.77492,4.83886,3.0,False,
393,d63e372c-b551-4be0-ae5e-b93aa3159444,dott-paris,Dott Paris,Paris,id_49279,48.86766,2.36056,,True,
394,d0a18da0-9b79-4f67-91f5-3dc3bb9c7384,voi_Grenoble,Voi Grenoble,Grenoble,SEY006,45.16232,5.68526,8.0,True,
395,094eeacf-6569-446a-a9e2-728321f8ef24,dott-paris,Dott Paris,Paris,id_old628001G200509051390,48.85933,2.3861,,True,
396,730e58af-7d36-46ed-bc56-613464599d44,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.84453,-0.55786,,True,
397,08db1aee-da18-452f-8088-744bf01b9cc8,dott-paris,Dott Paris,Paris,id_old817512G200509052666,48.84203,2.393,,True,
398,b5498479-4342-4666-b95f-e7021f26423c,bird-bordeaux,Bird Bordeaux,Bordeaux,"10 Quai de Brazza, 33100 Bordeaux, France",44.8537,-0.5551,,True,
399,angers_parking_6_zidYNR7IPII,pony_Angers,Pony Angers,Angers,angers_parking_6_zidYNR7IPII,47.48929,-0.56118,,True,
400,Herouville_19_Avenue_du_Bois,pony_Herouville,Pony Herouville,Herouville-Saint-Clair,Herouville_19_Avenue_du_Bois,49.28151,-0.27067,,True,
401,perpignan_parking_Station_2___18_avenue_Pablo_Cassals_zid4QL5CE5X,pony_Perpignan,Pony Perpignan,Perpignan,perpignan_parking_Station_2___18_avenue_Pablo_Cassals_zid4QL5CE5X,42.64164,2.86971,,True,
402,paris_parking_WASHINGTON_zidPNE01JFZ,pony_paris,Pony Paris,Paris,paris_parking_WASHINGTON_zidPNE01JFZ,48.87445,2.30495,2.0,True,
403,1378,citiz_provence,Citiz Provence,Marseille,NE PAS RESERVER,43.49477,5.43823,20.0,False,
404,bordeaux_parking_Arceau_11589_zidFIOOJ06W,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_11589_zidFIOOJ06W,44.86491,-0.55006,,True,
405,692,citiz_gironde,Citiz Gironde,Bordeaux,Cours du Médoc / Tatry,44.86344,-0.57252,2.0,False,
406,284,citiz_angers,Citiz Angers,Angers,Giffard Langevin,47.46328,-0.55906,3.0,False,
407,0afb4235-451c-40e7-bc8c-dd0c454bcf6c,dott-paris,Dott Paris,Paris,id_43688,48.84234,2.31325,,True,
408,5bce202c-6c78-445e-88db-c62900adf010,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.85167,-0.54149,,True,
409,7c9849a4-a182-43b9-ad09-40af5d90c56c,dott-paris,Dott Paris,Paris,Bd de Courcelles (4),48.88039,2.30975,,True,
410,113,mvelo_plus_grenoble,Mvélo+,Grenoble,SAINT-NAZAIRE-LES-EYMES-RD1090,45.25641,5.84733,,True,
411,18,toulouse,VélÔToulouse,Toulouse,STRASBOURG - JAURÈS,43.60635,1.44813,24.0,False,
412,14813797734,Paris,Vélib' Metropole,Paris,Raspail Barbès,48.85299,2.42474,28.0,False,
413,3e9e6e47-683c-4698-8c25-dd3dc325d08f,voi_Le_Havre,Voi Le Havre,Le Havre,T_185,49.48739,0.10689,10.0,True,
414,limoges_parking_Place_d_Aine_zid6Z6X6R43,pony_Limoges,Pony Limoges,Limoges,limoges_parking_Place_d_Aine_zid6Z6X6R43,45.83014,1.2554,,True,
415,a5eb976f-1268-4e9d-b428-b928aedc4803,bird-vichy,Bird Vichy,Vichy,"8 D326, 03200 Vichy, France",46.12,3.42549,,True,
416,5e7a2478-08fd-4764-a179-f18ee9b90158,dott-paris,Dott Paris,Paris,id_41366,48.85632,2.29275,,True,
417,lorient_parking_11063281151_zid7MOIZCNT,pony_Lorient,Pony Lorient,Lorient,lorient_parking_11063281151_zid7MOIZCNT,47.75101,-3.36813,,True,
418,cj3rgm30nhco6k0c34dg,vilvolt_epinal,Vilvolt,Épinal,Laufromont,48.17248,6.46179,15.0,False,
419,35001,lyon,Vélo'v,Lyon,ST GERMAIN AU MONT D'OR,45.88754,4.804,15.0,False,
420,paris_parking_MONTERA_zidCHYITTP5,pony_paris,Pony Paris,Paris,paris_parking_MONTERA_zidCHYITTP5,48.84552,2.40947,2.0,True,
421,745,mp_OSSAU,VALLEE D'OSSAU,Arundy,Arudy,43.10392,-0.42827,7.0,False,
422,1758,citiz_grand_est,Citiz Grand Est,Strasbourg,Colette (Poteries),48.58704,7.69848,1.0,False,
423,343,citiz_lille_arras,Citiz Lille Arras,Lille,CROISE LAROCHE,50.66596,3.104,10.0,False,
424,cj5r0ob0nhco6k5fn5ig,auxrmlevelo,AuxR_M le vélo,Auxerre,Auxerre IUT,47.78921,3.59213,35.0,False,
425,1f17263e-1e89-4945-adcc-b9fc4744b588,dott-paris,Dott Paris,Paris,id_40717,48.83478,2.29157,,True,
426,41523981,Paris,Vélib' Metropole,Paris,Mairie du 15ème,48.84178,2.29865,46.0,False,
427,Bourges_parking_185,pony_Bourges,Pony Bourges,Bourges,Bourges_parking_185,47.1017,2.40018,,True,
428,st_d1a2b5kdlg9eg0lhb7og,auxrmlevelo,AuxR_M le vélo,Auxerre,Venoy La Brosse,47.79078,3.65181,20.0,False,
429,0643fa4b-abae-4400-80e5-ccae3c039a48,dott-paris,Dott Paris,Paris,id_old985010G200509052736,48.84803,2.40358,,True,
430,0f89b990-7654-4637-87d1-c9efe913022b,voi_Marseille,Voi Marseille,Marseille,T05_64,43.28728,5.39566,5.0,True,
431,8862a173-8d64-4320-a1a6-fe5cd72194b0,dott-paris,Dott Paris,Paris,id_7216,48.87911,2.36325,,True,
432,390212609,Paris,Vélib' Metropole,Paris,Théophile Gautier - François Millet,48.85035,2.27303,30.0,False,
433,bordeaux_parking_Arceau_12239_zid34DZLEQ1,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_12239_zid34DZLEQ1,44.86292,-0.5668,,True,
434,1172,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 2ème - Franklin,45.75175,4.83094,3.0,False,
435,6011,lyon,Vélo'v,Lyon,MAIRIE DU 6E,45.7684,4.8494,23.0,False,
436,bordeaux_parking_Arceau_11935_zidK2O2LORB,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_11935_zidK2O2LORB,44.84837,-0.5981,,True,
437,5a8de6bd-8067-4970-9be4-332f1933e8dc,dott-bordeaux,Dott Bordeaux,Bordeaux,ARCEAU_VELO,44.84314,-0.60671,,True,
438,42921455-c37a-4b6b-8944-30d34fd282f4,dott-paris,Dott Paris,Paris,id_31251,48.8566,2.40915,,True,
439,1074339090,Paris,Vélib' Metropole,Paris,Stade Pershing,48.82911,2.45835,26.0,False,
440,angers_parking_10_zidZ6BJ4PEB,pony_Angers,Pony Angers,Angers,angers_parking_10_zidZ6BJ4PEB,47.46394,-0.53054,,True,
441,538516101,nextbike_ah,VélO2,FR,La Louvière,49.04547,2.00308,11.0,False,
442,paris_parking_FLEURUS_zidPBSJ38U4,pony_paris,Pony Paris,Paris,paris_parking_FLEURUS_zidPBSJ38U4,48.8465,2.32743,1.0,True,
443,870ad6c3-00ed-41ac-b938-a9ea0aaf2590,dott-paris,Dott Paris,Paris,id_49896,48.87248,2.33519,,True,
444,stn_nrwJaMwwFsDozCnotmDuHR,ogalo,Ogalo Cyclette,Saumur,CV Orléans,47.2594,-0.07888,6.0,False,
445,e6fed684-2e26-4228-b014-82c372b4aebc,dott-paris,Dott Paris,Paris,id_54953,48.87155,2.38285,,True,
446,1146,citiz_metropole_lyon,Citiz Métropole Lyon,Lyon,Lyon 6ème - Musée Guimet,45.77386,4.84946,2.0,False,
447,54000561,Paris,Vélib' Metropole,Paris,Lamartine - Faubourg Montmartre,48.87661,2.33977,32.0,False,
448,da1295a9-fab0-45a5-a1bc-69f910914590,dott-paris,Dott Paris,Paris,id_36225,48.89273,2.33995,,True,
449,796,citiz_alpes_loire,Citiz Alpes Loire,Grenoble,Bajatière,45.17866,5.73602,2.0,False,
450,538cbfa1-5b88-4f7f-8b9a-a0dfbd2c0ac3,voi_SQY,Voi Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,Fontenay_002,48.80752,2.04046,8.0,True,
451,bordeaux_parking_Arceau_13551_zidOLEPY9QO,pony_bordeaux,Pony Bordeaux,Bordeaux,bordeaux_parking_Arceau_13551_zidOLEPY9QO,44.8272,-0.57019,,True,
452,27415224,Paris,Vélib' Metropole,Paris,Bir Hakeim,48.85384,2.28971,33.0,False,
453,3294f9b4-cb55-4c8e-9cd9-cf4ac21d2a3c,dott-paris,Dott Paris,Paris,id_56998,48.87835,2.40917,,True,
454,043,montpellier,Vélomagg,Montpellier,Sabines,43.58421,3.86003,8.0,False,
455,1792,citiz_grand_est,Citiz Grand Est,Strasbourg,Mésanges - Ouverture Automne 2026,48.08624,7.33145,1.0,False,
