code_commune,nom,population,surface_km2,M_per_km2,I_per_km2,D_log,M_z,I_z,D_z,IMD4_national,insee_part_velo
33191,Gours,526.0,7.8873,0.0,0.0,4.200047341768724,-0.15221644000205786,-0.32446441875437054,0.28005665397675095,-0.1244314054044339,0.0
33192,Gradignan,26952.0,15.7619,0.0,4.44705270303707,7.444217149547598,-0.15221644000205786,5.829274201933215,2.6822865565296476,0.44788768497703113,5.4165316468468
33193,Grayan-et-l'Hôpital,1542.0,45.2422,0.0,1.1153082741334417,3.528805274526344,-0.15221644000205786,1.2188758694819584,-0.21698199113814598,-0.04561831350671848,2.73403691645256
33194,Grézillac,693.0,7.784299999999999,0.0,0.0,4.488921114452775,-0.15221644000205786,-0.32446441875437054,0.49396075145677854,-0.11183990198417608,0.558373930663498
33195,Grignols,1216.0,22.7974,0.0,0.0,3.976675568155932,-0.15221644000205786,-0.32446441875437054,0.11465521516418059,-0.13416779104201385,2.09914529196824
33196,Guillac,181.0,3.0572000000000004,0.0,0.0,4.080997566879233,-0.15221644000205786,-0.32446441875437054,0.19190315213292308,-0.12962057724850248,1.0989010989011
33197,Guillos,467.0,22.8025,0.0,0.0,3.019459078596721,-0.15221644000205786,-0.32446441875437054,-0.5941406280503808,-0.17589118666296022,1.01568577648605
33198,Guîtres,1631.0,4.9601,0.0,0.0,5.7955227007970915,-0.15221644000205786,-0.32446441875437054,1.4614678757488706,-0.054887419969262094,0.448430493273543
33199,Gujan-Mestras,22153.0,50.6395,0.03949486073124735,1.2185941804322713,6.080996302313193,0.34607674095595886,1.3618007487238333,1.6728542280622116,0.46256182459070244,2.78044136580316
33200,Le Haillan,11392.0,9.3171,0.1073295338678344,3.9125908276180357,7.108815212172484,1.2019236645971998,5.089697024940219,2.4339294694854567,1.4329741560379323,4.98206357954523
33201,Haux,840.0,10.5547,0.0,0.0,4.376830633489559,-0.15221644000205786,-0.32446441875437054,0.4109604397851376,-0.11672573035590006,1.05198422889753
33202,Hostens,1554.0,57.3861,0.0,0.3779312411890684,3.298785417206352,-0.15221644000205786,0.1985089368978479,-0.38730617642280796,-0.12709498307421585,0.445777397748688
33203,Hourtin,4045.0,221.968,0.0,0.5309909536509767,2.9027036021542223,-0.15221644000205786,0.4103097692120069,-0.6805952569432522,-0.12952828760343368,2.15173786016916
33204,Hure,569.0,7.2573,0.0,1.0593471401209815,4.361872575288335,-0.15221644000205786,1.1414380214000668,0.3998843565884609,-0.014728897310104402,0.421216022553282
33205,Illats,1413.0,29.257600000000004,0.0,0.03445258667833315,3.877331013696557,-0.15221644000205786,-0.2767896491074415,0.041092956244849946,-0.13515965317237466,0.666626722723419
33206,Isle-Saint-Georges,502.0,4.3639,0.0,0.0,4.745233966740556,-0.15221644000205786,-0.32446441875437054,0.6837542686450439,-0.10066767223742268,0.0
33207,Izon,6374.0,15.7654,0.0,0.26818222182754636,6.00216482964118,-0.15221644000205786,0.04664053683001135,1.6144814140187187,-0.01989387637119537,1.31171534827821
33208,Jau-Dignac-et-Loirac,1007.0,94.2017,0.0,0.0,2.3692926645899552,-0.15221644000205786,-0.32446441875437054,-1.0755732576302612,-0.20423080555476192,1.03294605318353
33209,Jugazan,272.0,5.4491,0.0,0.0,3.910351608872241,-0.15221644000205786,-0.32446441875437054,0.06554391468140307,-0.13705873663533022,1.75995371306144
33210,Juillac,216.0,5.8024,0.0,0.0,3.6170067826170995,-0.15221644000205786,-0.32446441875437054,-0.15167089069025108,-0.14984512547495119,1.34815213651675
33211,Labarde,623.0,4.807300000000001,0.0,0.0,4.864410922836095,-0.15221644000205786,-0.32446441875437054,0.7720019451203844,-0.09547295678662208,0.312209356575694
33212,Labescau,140.0,6.0198,0.0,0.0,3.1465883864318194,-0.15221644000205786,-0.32446441875437054,-0.5000044259193912,-0.17034984208346654,0.0
33213,La Brède,4386.0,23.2307,0.0,0.27162332602977957,5.240698249201391,-0.15221644000205786,0.051402264932003734,1.0506336817141206,-0.05275143840859496,1.70809671674793
33214,Lacanau,5739.0,218.27990000000003,0.0,0.7939897351977896,3.2692620739176124,-0.15221644000205786,0.7742419884306171,-0.40916750374959854,-0.08806653582932501,7.57687290448427
33215,Ladaux,190.0,4.3011,0.0,0.0,3.7881532682222914,-0.15221644000205786,-0.32446441875437054,-0.0249410245618459,-0.14238514896396534,2.12765957446808
33216,Lados,180.0,6.4891,0.0,0.0,3.3228330046749,-0.15221644000205786,-0.32446441875437054,-0.36949951489643335,-0.1626676468713835,1.35135135135135
33218,Lagorce,1575.0,28.2912,0.0,0.0,4.019459749030386,-0.15221644000205786,-0.32446441875437054,0.1463358745447114,-0.13230290329257172,0.604229607250755
33219,La Lande-de-Fronsac,2729.0,8.5478,0.0,0.0,5.766016580811073,-0.15221644000205786,-0.32446441875437054,1.4396193018644916,-0.05617354022611505,0.519852574994993
33220,Lamarque,1335.0,9.0236,0.0,0.0,4.996843203302219,-0.15221644000205786,-0.32446441875437054,0.8700648712459452,-0.08970046488835082,0.909478093082609
33221,Lamothe-Landerron,1114.0,9.1898,0.10881629632853816,0.0,4.797618247142083,1.2206816392338062,-0.32446441875437054,0.7225435713820728,0.9676757473612391,0.23342133948556
33222,Lalande-de-Pomerol,618.0,8.2555,0.0,0.0,4.315608812567941,-0.15221644000205786,-0.32446441875437054,0.36562715033955856,-0.11939428264559541,1.15039051168336
33223,Landerrouat,217.0,4.9748,0.0,0.0,3.7755121847430106,-0.15221644000205786,-0.32446441875437054,-0.034301443570056274,-0.1429361517233582,0.943396226415094
33224,Landerrouet-sur-Ségur,102.0,3.131,0.0,0.0,3.4836203709400024,-0.15221644000205786,-0.32446441875437054,-0.25044032808426125,-0.15565920628693627,0.0
33225,Landiras,2310.0,59.8577,0.0,0.0,3.653032724816438,-0.15221644000205786,-0.32446441875437054,-0.12499454489251223,-0.14827481755046848,0.51292574698895
33226,Langoiran,2215.0,10.2478,0.0,0.1471535353929624,5.375944634078365,-0.15221644000205786,-0.12083643087377768,1.1507803846347313,-0.058917183001312295,0.588235294117647
33227,Langon,7674.0,13.7746,0.07259738939787726,0.8476471186096148,6.322766954302057,0.7637200495193616,0.8484919545623177,1.8518795948524278,0.7614575489377793,3.34680055239614
33228,Lansac,663.0,6.0601,0.0,0.0,4.695048688590625,-0.15221644000205786,-0.32446441875437054,0.646593274312803,-0.10285516089587758,0.319537487032366
33229,Lanton,7337.0,137.7417,0.0,0.15334499283804395,3.975305126579805,-0.15221644000205786,-0.11226882141591772,0.11364043605922133,-0.11936867275500186,1.66668824881618
33230,Lapouyade,550.0,25.9918,0.0,0.0,3.0521371745646064,-0.15221644000205786,-0.32446441875437054,-0.5699432820593295,-0.17446680551086036,0.862068965517241
33231,Laroque,285.0,2.9754,0.0,0.5616051623311151,4.562110696527644,-0.15221644000205786,0.4526730715781103,0.548155880883735,-0.0542311677927667,1.51962941207246
33232,Lartigue,41.0,13.6316,0.0,0.0,1.1011814397708586,-0.15221644000205786,-0.32446441875437054,-2.0145791927446943,-0.259505559909291,0.0
33233,Laruscade,2811.0,46.5586,0.0,0.0,4.1005838366639455,-0.15221644000205786,-0.32446441875437054,0.20640631495858214,-0.12876684594332777,0.0765110941086457
33234,Latresne,3714.0,10.2603,0.0,1.3607789245928479,5.89158266283142,-0.15221644000205786,1.5585530271072159,1.5325979727874557,0.08115669142276002,3.86810399492708
33235,Lavazan,228.0,8.9343,0.0,0.0,3.2394478270046823,-0.15221644000205786,-0.32446441875437054,-0.4312442382302056,-0.16630226118779534,0.0
33236,Lège-Cap-Ferret,7909.0,95.8379,0.0,1.6847823251552883,4.413098407911537,-0.15221644000205786,2.0069021635844004,0.43781585654125654,0.04810748955159541,4.95909081302047
33237,Léogeats,902.0,19.6508,0.0,0.0,3.82649647010789,-0.15221644000205786,-0.32446441875437054,0.003451196433599,-0.1407138357353525,0.702281216011572
33238,Léognan,10670.0,41.5874,0.0,0.7722531343628117,5.547394107522775,-0.15221644000205786,0.7441633343257709,1.2777346059882342,0.009127024786180785,2.77222343917778
33239,Lerm-et-Musset,504.0,36.916,0.0,0.0,2.6139312066680387,-0.15221644000205786,-0.32446441875437054,-0.894424287040688,-0.19356743860842388,0.0
33240,Lesparre-Médoc,5872.0,36.8516,0.027135863843089584,0.13741601450140564,5.071051533334296,0.19014749449635593,-0.13431100884295752,0.9250143590915333,0.1926962834249451,1.85662712738525
33241,Lestiac-sur-Garonne,585.0,2.8619,0.0,0.0,5.3201261073090125,-0.15221644000205786,-0.32446441875437054,1.1094481048631022,-0.07560912750700755,2.02702702702703
33242,Les Lèves-et-Thoumeyragues,561.0,17.4026,0.0,0.0,3.473101285177703,-0.15221644000205786,-0.32446441875437054,-0.2582294586979312,-0.1561177148705412,0.454132600257507
33243,Libourne,25036.0,20.6796,0.048356834755024274,2.4997098589914697,7.098922360951198,0.45788524322981045,3.134581859083524,2.4266040505236326,0.717888931275751,4.65326848527402
33244,Lignan-de-Bazas,403.0,11.0648,0.0,0.20696262020099776,3.5951676636183216,-0.15221644000205786,-0.03807386887404453,-0.167842234304411,-0.13074274964144095,1.65745856353591
