departure_station,arrival_station,count,avg_count
002 Com̩die,041 Eurom̩decine,3,0.0040650406504065045
002 Com̩die,042 Marie Caizergues,7,0.009485094850948509
002 Com̩die,043 Sabines,2,0.0027100271002710027
002 Com̩die,044 Celleneuve,1,0.0013550135501355014
002 Com̩die,046 P̬re Soulas,2,0.0027100271002710027
002 Com̩die,049 Tonnelles,1,0.0013550135501355014
002 Com̩die,050 Parvis Jules Ferry - Gare Saint-Roch,1,0.0013550135501355014
002 Com̩die,054 Providence - Ovalie,1,0.0013550135501355014
002 Com̩die,057 Saint-Guilhem - Courreau,4,0.005420054200542005
003 Esplanade,002 Com̩die,1,0.0013550135501355014
003 Esplanade,003 Esplanade,19,0.025745257452574527
003 Esplanade,004 H̫tel de Ville,2,0.0027100271002710027
003 Esplanade,005 Corum,4,0.005420054200542005
003 Esplanade,006 Place Albert 1er - St Charles,7,0.009485094850948509
003 Esplanade,012 Boutonnet,3,0.0040650406504065045
003 Esplanade,014 Beaux-Arts,1,0.0013550135501355014
003 Esplanade,016 Antigone centre,1,0.0013550135501355014
003 Esplanade,018 Nombre d'Or,1,0.0013550135501355014
003 Esplanade,019 Louis Blanc,2,0.0027100271002710027
003 Esplanade,021 Port Marianne,1,0.0013550135501355014
003 Esplanade,023 Les Arceaux,1,0.0013550135501355014
003 Esplanade,027 Odysseum,1,0.0013550135501355014
003 Esplanade,030 Charles Flahault,1,0.0013550135501355014
003 Esplanade,035 Malbosc,1,0.0013550135501355014
003 Esplanade,036 Occitanie,8,0.01084010840108401
003 Esplanade,037 FacdesSciences,2,0.0027100271002710027
003 Esplanade,041 Eurom̩decine,1,0.0013550135501355014
003 Esplanade,042 Marie Caizergues,2,0.0027100271002710027
003 Esplanade,044 Celleneuve,2,0.0027100271002710027
003 Esplanade,046 P̬re Soulas,1,0.0013550135501355014
003 Esplanade,047 Place Viala,1,0.0013550135501355014
003 Esplanade,050 Parvis Jules Ferry - Gare Saint-Roch,1,0.0013550135501355014
003 Esplanade,055 P̩rols Etang de l'Or,1,0.0013550135501355014
003 Esplanade,056 Albert 1er - Cath̩drale,1,0.0013550135501355014
004 H̫tel de Ville,001 Rue Jules Ferry - Gare Saint-Roch,2,0.0027100271002710027
004 H̫tel de Ville,004 H̫tel de Ville,18,0.024390243902439025
004 H̫tel de Ville,005 Corum,1,0.0013550135501355014
004 H̫tel de Ville,011 Plan Cabanes,2,0.0027100271002710027
004 H̫tel de Ville,014 Beaux-Arts,1,0.0013550135501355014
004 H̫tel de Ville,016 Antigone centre,2,0.0027100271002710027
004 H̫tel de Ville,019 Louis Blanc,4,0.005420054200542005
004 H̫tel de Ville,020 Gambetta,1,0.0013550135501355014
004 H̫tel de Ville,029 Richter,4,0.005420054200542005
004 H̫tel de Ville,032 Pr̩s d'Ar̬nes,6,0.008130081300813009
004 H̫tel de Ville,033 Garcia Lorca,5,0.006775067750677507
004 H̫tel de Ville,039 Aiguelongue,1,0.0013550135501355014
004 H̫tel de Ville,043 Sabines,1,0.0013550135501355014
004 H̫tel de Ville,045 Jardin de la Lironde,1,0.0013550135501355014
004 H̫tel de Ville,051 Pont de Lattes - Gare Saint-Roch,2,0.0027100271002710027
004 H̫tel de Ville,053 Deux Ponts - Gare Saint-Roch,4,0.005420054200542005
004 H̫tel de Ville,057 Saint-Guilhem - Courreau,2,0.0027100271002710027
005 Corum,004 H̫tel de Ville,5,0.006775067750677507
005 Corum,005 Corum,45,0.06097560975609756
