tram_id,tram_name,latitude,longitude,tram_line,network,operator,shelter,bench,osm_id,source,data_retrieved,last_updated,data_version
TR0012,Corum,43.6144182,3.8818054,42141,TaM,TaM,unknown,unknown,70972317,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0013,Aiguelongue,43.626274,3.8833184,42147,TaM,TaM,unknown,unknown,74943027,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0014,Charles de Gaulle,43.6285691,3.8976846,42219,TaM,TaM,unknown,unknown,101499645,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0015,Saint-Lazare,43.6267745,3.8887704,42149,TaM,TaM,unknown,unknown,119409072,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0016,Boutonnet  - Cité des Arts,43.6224984,3.8681444,41123,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,126601804,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0017,Jeu de Mail des Abbés,43.6204816,3.8840706,42145,TaM,TaM,unknown,unknown,148694939,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0018,Beaux-Arts,43.6170502,3.8835972,42143,TaM,TaM,unknown,unknown,224660817,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0019,Place Carnot,43.6036345,3.8842954,42129,TaM,TaM,unknown,unknown,231389156,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0020,Voltaire,43.6037049,3.8892253,42131,TaM,TaM,unknown,unknown,231389166,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0021,Rives du Lez - Consuls de Mer,43.603993,3.8940022,42133,TaM,TaM,unknown,unknown,231454791,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0022,Les Aubes,43.6139508,3.8883314,42231,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,231454841,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0023,Saint-Cléophas,43.594954,3.8760145,42121,TaM,TaM,unknown,unknown,231529652,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0024,Mas Drevon,43.5955627,3.8679574,42117,TaM,TaM,unknown,unknown,231532087,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0025,Saint-Jean-de-Védas Centre,43.5748738,3.8306564,42101,TaM,TaM,unknown,unknown,231578457,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0026,Saint-Jean-le-Sec,43.5708282,3.8379052,42103,TaM,TaM,unknown,unknown,231578469,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0027,La Condamine,43.5719919,3.8444363,42105,TaM,TaM,unknown,unknown,231578480,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0028,Sabines,43.583879,3.8601051,42111,TaM,TaM,unknown,unknown,231578510,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0029,Pompignane,43.6125111,3.8949065,42233,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,250677074,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0030,Antigone,43.6086092,3.8866898,41139,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,265410397,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0031,Léon Blum,43.6088993,3.8902941,41141,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,267847611,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0032,Place de l'Europe,43.6072981,3.8939097,41143,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,267929741,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0033,Victoire 2,43.5752209,3.8499642,42107,TaM,TaM,unknown,unknown,279249812,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0034,Rondelet,43.6030665,3.8761818,42125,TaM,TaM,unknown,unknown,279556951,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0035,Port Marianne,43.6016281,3.8997688,41149,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,281177110,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0036,Place de France,43.6037495,3.9157023,41261,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,281177205,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0037,Lemasson,43.59358,3.8731927,42119,TaM,TaM,unknown,unknown,281259064,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0038,Villeneuve d'Angoulême,43.5888673,3.865695,42113,TaM,TaM,unknown,unknown,281259065,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0039,Stade de la Mosson,43.6211235,3.8173578,41263,TaM,Transports de l'agglomération de Montpellier,unknown,unknown,281570631,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0040,Jacou,43.6545596,3.9128047,42169,TaM,TaM,unknown,unknown,308531607,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0041,Via Domitia,43.6468218,3.9294517,42165,TaM,TaM,unknown,unknown,308734763,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
TR0042,Aube Rouge,43.638641,3.9248354,42163,TaM,TaM,unknown,unknown,308735605,OpenStreetMap,2025-12-16 09:57:42,2025-12-16 10:11:13,1.0
