Région-Département-Ville,"L’espérance de vie"
"Basse Normandie - Manche - Auvers",69
"Auvergne - Haute Loire - Sainte-Florine",78
"Auvergne - Haute Loire - Vergongheon",101
"Auvergne - Haute Loire - Retournac",92
"France - Franche-Comté - Le Mazet Saint Voy",94
"Auvergne - Haute Loire - Brioude",80
"Auvergne - Haute Loire - Pradelles",81
"Auvergne - Haute Loire - Villeneuve-D'allier",73
"Auvergne - Haute Loire - Monistrol-sur-Loire",90
"Auvergne - Haute Loire - Vals-Près-Le-Puy",81
"Auvergne - Haute Loire - Alleyras",96
"Auvergne - Haute Loire - Cayres",94
"Auvergne - Puy-de-Dôme - Ambert",90
"Auvergne - Puy-de-Dôme - Espirat",66
"Auvergne - Puy-de-Dôme - Malintrat",61
"Auvergne - Puy-de-Dôme - Clermont-Ferrand",80
"Auvergne - Puy-de-Dôme - La Bourboule",91
"Auvergne - Puy-de-Dôme - Lezoux",74
"Auvergne - Puy-de-Dôme - Riom",74
"Auvergne - Puy-de-Dôme - Singles",78
"Auvergne - Puy-de-Dôme - Royat",61
"Auvergne - Puy-de-Dôme - Chauriat",70
"Auvergne - Puy-de-Dôme - Cournon-D'auvergne",95
"Auvergne - Puy-de-Dôme - Isserteaux",91
"Auvergne - Puy-de-Dôme - Thiers",100
"Centre - Loir-et-Cher - Fresnes",84
"Île-de-France - Yvelines - Versailles",78
"Basse Normandie - Calvados - Caen",87
"Basse Normandie - Calvados - Ouistreham",45
"Basse Normandie - Calvados - Lisieux",77
"Basse Normandie - Calvados - Deauville",87
"Basse Normandie - Calvados - Saint-Martin-Des-Besaces",83
"Basse Normandie - Calvados - Le Molay-Littry",62
"Basse Normandie - Calvados - Bayeux",80
"Basse Normandie - Calvados - Dives-sur-Mer",92
"Île-de-France - Val-d'Oise - Le Plessis-Bouchard",84
"Basse Normandie - Calvados - Villers-sur-Mer",97
"Basse Normandie - Calvados - Canchy",95
"Basse Normandie - Manche - La haye-Pesnel",81
"Basse Normandie - Calvados - Ablon",94
"Basse Normandie - Calvados - Honfleur",80
"Basse Normandie - Calvados - Falaise",90
"Basse Normandie - Calvados - Asnelles",92
"Basse Normandie - Calvados - Viré",84
"Basse Normandie - Calvados - Landelles-et-Coupigny",82
"Basse Normandie - Orne - Flers",81
"Basse Normandie - Calvados - Orbec",87
"Basse Normandie - Calvados - Équemauville",85
"Basse Normandie - Manche - Avranches",61
"Île-de-France - Val-d'Oise - Cormeilles-en-Parisis",87
"Basse Normandie - Manche - Sourdeval",89
"Basse Normandie - Manche - Cambernon",81
"Basse Normandie - Manche - Saint-Vaast-La-Hougue",77
"Rhône-Alpes - Ain - Cessy",87
"Basse Normandie - Manche - Omonville-la-Rogue",71
"Basse Normandie - Manche - Cherbourg-en-Cotentin",79
"Basse Normandie - Manche - Millières",87
"Basse Normandie - Manche - Équeurdreville-Hainneville",93
"Basse Normandie - Manche - Notre-Dame-Du-Touchet",86
"Basse Normandie - Manche - Barfleur",63
"Basse Normandie - Manche - Tourlaville",55
"Basse Normandie - Manche - Coutances",91
"Poitou-Charentes - Deux Sèvres - Marigny",83
"Basse Normandie - Manche - Agon-Coutainville",82
"Basse Normandie - Manche - Donville-les-Bains",85
"Basse Normandie - Manche - Portbail",57
"Basse Normandie - Manche - Bricquebec",61
"Basse Normandie - Manche - Cherbourg-Octeville",102
"Île-de-France - Yvelines - Conflans-Sainte-Honorine",67
"Basse Normandie - Manche - Saint-Germain-Des-Vaux",89
"Basse Normandie - Manche - Saint-Lô",66
"Basse Normandie - Manche - Les Pieux",89
"Basse Normandie - Manche - Tourville-sur-Sienne",71
"Basse Normandie - Manche - Carentan-les-Marais",62
"Basse Normandie - Manche - Carentan",94
"Provence-Alpes-Côte d'Azur - Bouches-du-Rhône - Marseille",80
"Rhône-Alpes - Rhône - Savigny",55
"Basse Normandie - Manche - Querqueville",59
"Basse Normandie - Manche - Brouains",85
"Basse Normandie - Manche - Hudimesnil",67
"Basse Normandie - Manche - Granville",72
"Basse Normandie - Manche - Pirou",95
"Basse Normandie - Manche - Périers",71
"Basse Normandie - Orne - L'aigle",80
"Basse Normandie - Orne - Le Merlerault",78
"Bourgogne - Yonne - Vézelay",96
"Basse Normandie - Orne - Mortagne-au-Perche",70
"Basse Normandie - Orne - Giel-Courteilles",84
"Basse Normandie - Orne - Argentan",93
"Basse Normandie - Orne - Bagnoles-de-L'orne",87
"Basse Normandie - Orne - Neuville-sur-Touques",97
"Basse Normandie - Orne - Échauffour",76
"Basse Normandie - Orne - Tinchebray-Bocage",92
"Basse Normandie - Orne - Trun",93
"Bretagne - Côtes-d'Armor - Saint-Cast-Le-Guildo",92
"Basse Normandie - Orne - Moutiers-au-Perche",90
"Basse Normandie - Orne - La Ferté-Macé",62
"Basse Normandie - Orne - Briouze",96
"Basse Normandie - Orne - Le Pin-La-Garenne",94
"Haute-Normandie - Seine-Maritime - Rouen",83
"Bourgogne - Côte-d'Or - Châtillon-sur-Seine",73
"Bourgogne - Côte-d'Or - Dijon",78
"Bourgogne - Côte-d'Or - Auxonne",84
"Bourgogne - Côte-d'Or - Athée",25
"Bourgogne - Côte-d'Or - Marsannay-la-Côte",63
"Bourgogne - Côte-d'Or - Chenôve",65
"Bourgogne - Côte-d'Or - Chevigny-Saint-Sauveur",70
"Bourgogne - Côte-d'Or - Aignay-le-Duc",51
"Bourgogne - Côte-d'Or - Fontaine-lès-Dijon",81
"Bourgogne - Côte-d'Or - Varois-et-Chaignot",82
"Bourgogne - Côte-d'Or - Longvic",77
"Bourgogne - Côte-d'Or - Beaune",71
"Provence-Alpes-Côte d'Azur - Bouches-du-Rhône - La Ciotat",69
"Bourgogne - Côte-d'Or - Esbarres",67
"Bourgogne - Côte-d'Or - Pluvet",17
"Bourgogne - Côte-d'Or - Is-sur-Tille",48
"Bourgogne - Côte-d'Or - Meursault",80
"Bourgogne - Côte-d'Or - Échenon",73
"Bourgogne - Côte-d'Or - Talant",99
"Bourgogne - Côte-d'Or - Pouilly-en-Auxois",52
"Bourgogne - Yonne - Island",84
"Bourgogne - Côte-d'Or - Couchey",74
"Bourgogne - Côte-d'Or - Soussey-sur-Brionne",90
"Bourgogne - Côte-d'Or - Chaignay",89
"Bourgogne - Côte-d'Or - Arc-sur-Tille",48
"Bourgogne - Côte-d'Or - Vosne-Romanée",76
"Bourgogne - Côte-d'Or - Pouilly-sur-Saône",71
"Bourgogne - Côte-d'Or - Seurre",89
"Bourgogne - Côte-d'Or - Charrey-sur-Saône",65
"Provence-Alpes-Côte d'Azur - Alpes-Maritimes - Menton",85
"Bourgogne - Côte-d'Or - Velars-sur-Ouche",85
"Bourgogne - Côte-d'Or - Pagny-la-Ville",94
"Bourgogne - Côte-d'Or - Renève",78
"Provence-Alpes-Côte d'Azur - Var - Toulon",83
"Bourgogne - Côte-d'Or - Puits",81
"Bourgogne - Côte-d'Or - Chaugey",60
"Bourgogne - Côte-d'Or - Nolay",80
"Bourgogne - Côte-d'Or - Semur-en-Auxois",83
"Bourgogne - Côte-d'Or - Ahuy",92
"Bourgogne - Côte-d'Or - Losne",77
"Bourgogne - Côte-d'Or - Sombernon",76
"Bourgogne - Côte-d'Or - Arnay-le-Duc",57
"Bourgogne - Côte-d'Or - Mâlain",62
"Bourgogne - Côte-d'Or - Selongey",90
"Bourgogne - Côte-d'Or - Avelanges",85
"Bretagne - Côtes-d'Armor - Saint-Julien",86
"Bourgogne - Côte-d'Or - Voulaines-les-Templiers",102
"Bourgogne - Côte-d'Or - Savigny-le-Sec",91
"Bourgogne - Nièvre - Mars-sur-Allier",75
"Bourgogne - Nièvre - Nevers",91
"Île-de-France - Hauts de Seine - Antony",68
"Bourgogne - Nièvre - Cosne-Cours-Sur-Loire",94
"Bourgogne - Nièvre - La Charité-Sur-Loire",93
"Bourgogne - Nièvre - Annay",97
"Bourgogne - Nièvre - Urzy",62
"Bourgogne - Nièvre - Sémelay",93
"Bourgogne - Nièvre - Crux-la-Ville",71
"Bourgogne - Nièvre - La Machine",86
"Bourgogne - Nièvre - Corancy",80
"Bourgogne - Saône-et-Loire - Chalon-sur-Saône",75
"Bourgogne - Saône-et-Loire - La Clayette",73
"Bourgogne - Saône-et-Loire - Chagny",74
"Bourgogne - Saône-et-Loire - Tournus",42
"Bourgogne - Saône-et-Loire - Montpont-en-Bresse",86
"Bourgogne - Saône-et-Loire - Montceau-les-Mines",103
"Bourgogne - Saône-et-Loire - Saint-Bérain-Sur-Dheune",92
"Bourgogne - Saône-et-Loire - Iguerande",86
"Bourgogne - Saône-et-Loire - Charolles",93
"Bourgogne - Saône-et-Loire - Autun",98
"Bourgogne - Saône-et-Loire - Joncy",90
"Bourgogne - Saône-et-Loire - Lessard-le-National",78
"Bourgogne - Saône-et-Loire - Châtenoy-le-Royal",54
"Bourgogne - Saône-et-Loire - Paray-le-Monial",84
"Bourgogne - Saône-et-Loire - Le Creusot",74
"Bourgogne - Saône-et-Loire - Épinac",92
"Bourgogne - Saône-et-Loire - La Chaux",85
"Bourgogne - Saône-et-Loire - Semur-en-Brionnais",94
"Bourgogne - Saône-et-Loire - Coublanc",91
"Bourgogne - Saône-et-Loire - Digoin",44
"Bourgogne - Saône-et-Loire - Saint-Bonnet-De-Joux",59
"Bourgogne - Saône-et-Loire - La Chapelle-De-Guinchay",83
"Bourgogne - Yonne - Cussy-les-Forges",91
"Bourgogne - Yonne - Appoigny",89
"Bourgogne - Yonne - Auxerre",75
"Bourgogne - Yonne - Bussy-en-Othe",92
"Bourgogne - Yonne - Brosses",74
"Bourgogne - Yonne - L'isle-sur-Serein",89
"Bourgogne - Yonne - Villeblevin",96
"Bourgogne - Yonne - Héry",87
"Bourgogne - Yonne - Préhy",41
"Bourgogne - Yonne - Bassou",61
"Bourgogne - Saône-et-Loire - Givry",88
"Bourgogne - Yonne - Tonnerre",88
"Bourgogne - Yonne - Asquins",43
"Bourgogne - Yonne - Beine",91
"Bourgogne - Yonne - Étigny",70
"Bourgogne - Yonne - Malay-le-Grand",76
"Bretagne - Morbihan - Arzal",93
"Bourgogne - Yonne - La Celle-Saint-Cyr",72
"Limousin - Haute Vienne - Limoges",81
