numero,nom,type,population_2009,surface_km2,densite_hab_km2,nb_menages,transport_pas_de_transport_nb,transport_pas_de_transport_pct,transport_marche_a_pied_nb,transport_marche_a_pied_pct,transport_deux_roues_velo_nb,transport_deux_roues_velo_pct,transport_voiture_camion_nb,transport_voiture_camion_pct,transport_transport_commun_nb,transport_transport_commun_pct,equipement_pas_de_voiture_nb,equipement_pas_de_voiture_pct,equipement_une_voiture_nb,equipement_une_voiture_pct,equipement_deux_voitures_ou_plus_nb,equipement_deux_voitures_ou_plus_pct
19,Millénaire-Grammont,sous-quartier,,4.01,995.0124688279302,1981.370634,35.992752,0.018445499679816964,194.12384,0.09948423028516518,117.136313,0.060029803331971936,1433.7243110000002,0.734752411249251,170.325412,0.08728805545379503,187.52664600000003,0.0946449103373559,1231.86758,0.6217249609241963,561.976407,0.28363012823374667
20,Gares,sous-quartier,,0.56,14189.285714285714,1115.562042,125.667464,0.041789932314962086,773.759683,0.2573089624902156,211.67912199999998,0.07039257337818643,1115.562042,0.37097320773753256,780.454626,0.2595353240791033,125.667464,0.11264946212646414,773.759683,0.6936052445929314,211.67912199999998,0.18975109768032067
21,Pompignane,sous-quartier,,2.46,1569.1056910569107,1662.2443170000001,45.926665,0.03146908662188315,82.13063700000001,0.05627615525889898,139.13849100000002,0.09533810534070153,945.0559129999999,0.647555105268799,247.16990199999998,0.16936154750971727,329.00277400000004,0.19792684543135064,946.051712,0.5691411920164802,387.18983000000003,0.23293196195057286
22,Aubes,sous-quartier,,0.83,5091.566265060241,2125.798396,72.429943,0.0442994376132734,157.69018499999999,0.09644611362779949,245.276666,0.1500155586683079,944.500903,0.5776735020781238,215.11048599999998,0.13156538801249534,437.1155899999999,0.20562419786490416,1191.969402,0.5607161075306408,498.71340399999997,0.23460051759301448
23,Boutonnet,sous-quartier,,,,7008.0,174.626694,0.037281033556064526,762.365351,0.16275729432644423,512.4647990000001,0.10940605316516423,2254.187024,0.4812461380239451,980.418706,0.2093094809283818,2069.0,0.2952340182648402,3973.0,0.5669235159817352,966.0,0.13784246575342465
24,Beaux Arts,sous-quartier,,1.19,7780.672268907563,5380.740645,90.86778699999999,0.023735418609207363,608.487046,0.15894185642586428,398.555396,0.10410597061220836,2024.2478110000002,0.5287502947866076,706.20448,0.18446645956611235,1711.644244,0.31810569528017085,2888.764689,0.5368712003772856,780.3317119999999,0.14502310434254354
25,Centre Historique,sous-quartier,9033.0,0.65,13896.923076923076,5610.530961,160.18156299999998,0.04591206512372513,1104.727034,0.3166425559784787,292.296969,0.08377966368198983,939.2972110000001,0.26922620752530296,992.3745489999999,0.2844395076905034,3328.9956230000007,0.5933476967047434,1986.6307549999997,0.3540896162608307,296.904586,0.05291916006949204
26,Gambetta,sous-quartier,,,,7008.0,143.895528,0.041236267799350676,982.4126640000001,0.2815308596815984,384.9638,0.11031941416452964,1227.794164,0.35185005158175503,750.471954,0.21506340677276625,2326.0078520000006,0.331907513127854,2249.631179,0.32100901526826486,442.443879,0.06313411515410959
27,Antigone,sous-quartier,,0.96,7837.5,4403.423825000001,105.068841,0.03951238235507302,508.920653,0.19138564048431292,190.184375,0.07152108723613491,1217.438968,0.4578323462955254,637.524242,0.23974854362895368,1482.3028400000003,0.33662506697274364,2461.7292660000003,0.559048904632749,459.39171899999997,0.10432602839450729
28,Figuerolles,sous-quartier,,,,3482.0,91.85228799999999,0.0401126668924979,447.37389099999996,0.19537194180817427,299.92285599999997,0.1309788343669198,1113.6660769999999,0.4863473447300073,337.04231000000004,0.14718921220240064,1159.0583769999998,0.33287144658242385,1877.9607369999999,0.5393339279149914,445.394861,0.12791351550832855
