Station_Name,Community_Louvain,Participation_Coef,PageRank,Betweenness,Degree_Cent,S_Core,Clustering,Community_Size,Is_Bridge
015 Les Aubes,8,0.7824008586253093,0.010847151293947307,0.0017921146953405018,1.873015873015873,56,0.024741962915285107,5,False
020 Gambetta,0,0.7946740453458819,0.009940369667235611,0.0,1.9047619047619047,56,0.026034862056916713,6,False
098 AtelierTAM,5,0.7385221176483385,0.009677432465369395,0.16371821129885647,1.9365079365079363,56,0.015081150893673978,8,False
099 Smoove,5,0.0,0.009617436422654948,0.0,0.047619047619047616,1,0.0,8,False
043 Sabines,7,0.7606253719856687,0.00951636121431454,0.0,1.9047619047619047,56,0.024317318451210757,8,False
040 Jeu de Mail des Abb̩s,8,0.790411457779058,0.009497434578653492,0.014831882573818057,1.9047619047619047,56,0.023744984705395683,5,False
013 Emile Combes,8,0.8015283380612297,0.009401573871062796,0.03949479433350401,1.9047619047619047,56,0.023522719280350327,5,False
014 Beaux-Arts,8,0.8304036516175839,0.009267764654321886,0.0,1.873015873015873,56,0.024332540592176412,5,True
027 Odysseum,9,0.7755937249836591,0.009120079322547858,0.016534391534391537,1.9047619047619047,56,0.023447978778341087,8,False
051 Pont de Lattes - Gare Saint-Roch,9,0.7773829392090056,0.008755051240464603,0.0031618023553507423,1.9047619047619047,56,0.024310306206977935,8,False
049 Tonnelles,0,0.7763049506311778,0.008580836210333148,0.0,1.9047619047619047,56,0.022086792413198778,6,False
022 Clemenceau,1,0.8369509153357356,0.008389054478314725,0.03468595323434032,1.8095238095238093,56,0.02415544508631369,2,True
044 Celleneuve,0,0.7272680435928838,0.007776241192360857,0.08616658132787164,1.9206349206349205,56,0.01801137304800628,6,False
035 Malbosc,10,0.7379422230090025,0.007550809030249856,0.06650025601638505,1.8888888888888888,56,0.016606605738237742,5,False
045 Jardin de la Lironde,9,0.7915282346708783,0.007304598052317338,0.07177419354838709,1.9047619047619047,56,0.017701768722435025,8,False
048 H̫tel du D̩partement,10,0.7213787854510496,0.007228860244109806,0.1696279228537294,1.8412698412698412,56,0.015665372027595124,5,False
024 Cit̩ Mion,3,0.8303611340883381,0.006878401502671663,0.1879074927462025,1.9047619047619047,56,0.01742384931198155,3,True
053 Deux Ponts - Gare Saint-Roch,2,0.772331225127776,0.006384548516834948,0.04511008704557092,1.857142857142857,56,0.016259911022844305,5,False
054 Providence - Ovalie,7,0.7096999433288922,0.006281764336442432,0.1690988223246288,1.873015873015873,56,0.013454980035732424,8,False
059 Sud De France,9,0.8036398093995989,0.006248325797303259,0.07530721966205836,1.8888888888888888,56,0.01641128335721355,8,False
060 Comedie Baudin,8,0.8391271744919331,0.005674910502470883,0.028225806451612902,1.8412698412698412,56,0.015131818787160127,5,True
041 Eurom̩decine,10,0.6998495720819151,0.005513113847377715,0.2506229732036183,1.857142857142857,56,0.011369882771176924,5,False
061 Jean de Beins,9,0.7312904118345516,0.004326600045544377,0.4470003413551801,1.73015873015873,55,0.00942288862075253,8,False
058 Perols etang or,11,0.38950768545333037,0.0023445941043407225,0.07258064516129033,0.2698412698412698,16,0.003727701472239736,2,False
