Station_Name,PageRank,Betweenness,Degree_Cent,S_Core,Clustering,Hub_Score,Auth_Score
027 Odysseum,0.009796465490970066,0.012829147148200857,1.9130434782608696,54,0.022960671342084602,0.005527547301212049,0.005176891909634651
002 ComÃ©die,0.00931412818147695,0.0,1.6376811594202898,49,0.024643584802313816,0.003354739750701184,0.003659281359594977
043 Sabines,0.009178420182996793,0.023919071361526604,1.9130434782608696,54,0.01641882797094476,0.0025904289429241677,0.0024571011341901618
032 Prés d'Arènes,0.008740617663595114,0.0026064107106306598,1.6521739130434783,54,0.023209972626828113,0.0037016584468568346,0.0033770149374549975
049 Tonnelles,0.008593824309396784,0.015849551958886994,1.8840579710144927,54,0.019781186370306493,0.003586245488538981,0.004338652477242104
044 Celleneuve,0.008364399682441402,0.007524205334307638,1.855072463768116,54,0.0179240769955734,0.0035888011550877204,0.0038674373785705807
035 Malbosc,0.008361289330322305,0.037880145808534556,1.8260869565217392,54,0.01574042197536112,0.0038868068054098612,0.003848391273223919
051 Pont de Lattes - Gare Saint-Roch,0.008212919202673606,0.00015697868958738524,1.8695652173913044,54,0.02166273631153307,0.00456792169739369,0.005265433153850013
040 Jeu de Mail des Abbés,0.008181610845536803,0.01881238315061844,1.5797101449275361,54,0.024956453389605525,0.004510089505237416,0.004432150593939759
014 Beaux-Arts,0.007724138029199426,0.03167557021457277,1.8115942028985508,54,0.020008445341383414,0.004108909994875796,0.004102162812203346
024 Cité Mion,0.007271266891426065,0.005386828644501278,1.6521739130434783,54,0.02211878932860098,0.0030278423704352773,0.0031389049725520837
017 MÃ©diathÃ¨que Emile Zola,0.007041019553872669,0.0,1.6231884057971016,49,0.018767795986686063,0.0025868347841107044,0.002576919138741613
098 AtelierTAM,0.006772207114488105,0.044802196240815155,1.8695652173913044,54,0.01549359274839129,0.0027466049914307545,0.00541014951560777
046 PÃ¨re Soulas,0.006478408511991858,0.031962303941204195,1.463768115942029,49,0.015891861098384967,0.0026081203033298025,0.0023689825430401423
045 Jardin de la Lironde,0.006371731726427826,0.0316588504088504,1.7681159420289856,54,0.013810725440233443,0.002411886646278453,0.0024005513412004124
054 Providence - Ovalie,0.006190872296794695,0.09395837774993786,1.7536231884057971,54,0.011569927914406647,0.001500851129153477,0.0013758590043794114
004 HÃ´tel de Ville,0.005956366034064549,0.01939176197488218,1.5797101449275361,49,0.012514129451417432,0.0011890972728510175,0.0013328527000099895
048 Hôtel du Département,0.0059503573149351984,0.015398624653739744,1.5797101449275361,54,0.014273717309075198,0.0016319504655255492,0.0022003976593698207
053 Deux Ponts - Gare Saint-Roch,0.0057389399210044,0.026889825978700654,1.6521739130434783,54,0.016633186753509742,0.0024742168400334135,0.0024218677620739633
041 Euromédecine,0.0049443396361461885,0.15902702015233988,1.536231884057971,54,0.01173550123673021,0.001539956039133665,0.0016268246722626195
032 PrÃ©s d'ArÃ¨nes,0.0044786469773133025,0.06278641257861206,1.4057971014492754,49,0.009858241965215935,0.0007390252827917789,0.0005598572194954553
056 Albert 1er - CathÃ©drale,0.004355060517479191,0.019718617912351927,1.5217391304347827,49,0.01139165090636426,0.001274492753687935,0.0012035439471877753
059 Sud De France,0.004282477066642676,0.16570389506770586,1.681159420289855,54,0.009605755400550088,0.0013363012025604877,0.0013389166765625134
040 Jeu de Mail des AbbÃ©s,0.0038038209757017033,0.11462389734448561,1.289855072463768,49,0.009229414060830596,0.0008746909210183466,0.0009002938281484651
024 CitÃ© Mion,0.003592807833339372,0.10318377925475111,1.289855072463768,46,0.008377698066489301,0.0004688759663678105,0.00043850009680605214
048 HÃ´tel du DÃ©partement,0.0033427408837020346,0.08628283836084347,1.1014492753623188,47,0.006700998416795296,0.00031584430120338045,0.0003570203901848596
041 EuromÃ©decine,0.0030241332496972048,0.30519449410114374,1.0724637681159421,47,0.005228914676730779,0.00031427660946738633,0.00027375733665811834
058 Perols etang or,0.002142857142857143,0.0,0.07246376811594203,5,0.002381012629655671,2.775841791718662e-05,-0.0
