Station_Name,PageRank,Betweenness,Degree_Cent,Hub_Score,Auth_Score,S_Core,Clustering,Closeness_Out,Closeness_In,Closeness_Mean,Harmonic,Load_Centrality,Eigenvector,Katz,VoteRank,Avg_Neighbor_Degree,Weighted_In,Weighted_Out,Flow_Balance
Les Arceaux,0.01441635347429,0.0092171424354865,1.8928571428571428,0.0140540549599814,0.0145402700354883,52.0,0.0466854848967436,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.04672299027137737,0.005323761401198219,0.016144731935389952,40.0,59.89874621703415,11566,11565,-1
Pont de Lattes - Gare Saint-Roch,0.0141828659625553,0.0020420110192837,1.8928571428571428,0.0128890761678474,0.0124700043646918,52.0,0.0469696747534834,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.009767400719869338,0.017619390873112442,26.0,59.960290728594224,5644,5641,-3
Rondelet,0.0140200820755805,0.0259843682652124,1.9107142857142856,0.0101529928687799,0.0103108969359871,52.0,0.0474952549645479,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.0,0.007548136568986566,0.015926565057065887,20.0,59.901755114757506,9644,9629,-15
Aiguelongue,0.0137823505290674,0.0164370910209813,1.8928571428571428,0.0151537555611797,0.0156824589603597,52.0,0.0435587165212697,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.0035950202090128834,0.01321141977876652,61.0,59.896818777552724,8400,8393,-7
Charles Flahault,0.013509093642374,0.0374757781900639,1.9107142857142856,0.0138658502850826,0.0138242305932512,52.0,0.0446118688713732,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.0038785734581556867,0.013725411988525034,55.0,59.90108385624644,8789,8765,-24
Gambetta,0.01300725562498,0.0003652597402597,1.9107142857142856,0.0101681670465099,0.0103624603458954,52.0,0.045155516213468,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.004374413515198034,0.013169429826438919,47.0,59.90985872235872,6525,6512,-13
Garcia Lorca,0.0120569520194092,0.0112079096048251,1.8214285714285716,0.0091555587922981,0.0086751323714769,52.0,0.0417951551686973,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.006158964762310741,0.014996920757775084,46.0,59.91223283310596,8807,8796,-11
Sabines,0.0118409055738744,0.0054073375217855,1.8928571428571428,0.0088018840390159,0.0084037679633022,52.0,0.0423183979727756,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.003388522447157894,0.01251803134090466,18.0,59.848133628771095,5887,5867,-20
Jardin de la Lironde,0.0114121828940022,0.0264393315866291,1.875,0.0083063400404727,0.0086520348515305,52.0,0.0381835297811342,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.06594555384877965,0.0026451032907213175,0.010114281474595813,43.0,59.83914342629482,4034,4016,-18
Tonnelles,0.0111801369841002,0.0004870129870129,1.875,0.0087851426939131,0.0088825905264341,52.0,0.0381550761353744,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.0028698273573021455,0.01209450661867063,15.0,59.88799076212471,5209,5196,-13
Les Aubes,0.0109629075289189,0.1113863599317667,1.7857142857142856,0.0102588995414654,0.0100729850318929,52.0,0.0346477823602043,0.9,0.9387057387057387,0.9193528693528694,59.833333333333336,0.0035628946919269494,0.0037241310997436507,0.012930553476345705,39.0,59.89266877637131,7607,7584,-23
Jeu de Mail des Abbés,0.0103031541238087,0.0108484075448361,1.7857142857142856,0.0099683096331006,0.0106763429271542,52.0,0.0360338936220493,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.013867554190134836,0.002239980557060909,0.011099582296003751,41.0,59.86926352310361,6349,6341,-8
Celleneuve,0.0101825107966411,0.0185269150041877,1.857142857142857,0.0079413489736197,0.0079824082371957,52.0,0.0360344238011755,0.9545454545454546,0.9387057387057387,0.9466255966255966,61.5,0.15704471752858848,0.004035750270303487,0.011590209433618168,56.0,59.862695492180315,4347,4348,1
Emile Combes,0.0101534991302578,0.0403309741728859,1.8214285714285716,0.0086492792029326,0.0090325912392037,52.0,0.0365923600946924,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.004010923365762076,0.0030237692427611783,0.011391799999933888,51.0,59.88875975427528,6019,6023,4
Beaux-Arts,0.0098298843674716,0.0278410420642086,1.8928571428571428,0.0085970723566566,0.0085174268379618,52.0,0.0379302253228788,0.9130434782608695,0.9387057387057387,0.925874608483304,60.0,0.0021974739716675196,0.003279098462596204,0.011656305296381517,58.0,59.86800526662278,6082,6076,-6
Comedie Baudin,0.0096960994212464,0.001082251082251,1.8928571428571428,0.0086303993457194,0.0082910611125297,52.0,0.0372411593836254,0.9130434782608695,0.9106846718787017,0.9118640750697856,60.0,0.0,0.0026707453966563007,0.009703687820332258,3.0,59.51749327181853,2610,2601,-9
Marie Caizergues,0.0094145653121923,0.0849040957239009,1.8035714285714284,0.0087636445315483,0.0094523832249906,52.0,0.035365260916784,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.0032358666574550696,0.01274799418023055,36.0,59.91423907584129,7969,7964,-5
Prés d'Arènes,0.0091712753974866,0.0532037629101227,1.75,0.0057202819337615,0.005884049863215,52.0,0.0326746630356906,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.00441243475338815,0.012793779355514514,24.0,59.88325791855203,7748,7735,-13
Sud De France,0.0090270006878203,0.0561420726639882,1.857142857142857,0.0058566835275888,0.0058640246467691,52.0,0.0331449328318844,0.9402985074626866,0.9244829244829245,0.9323907159728055,61.0,0.12992831541218638,0.002998651642916557,0.010751769354149102,7.0,59.77418321588725,3134,3122,-12
Malbosc,0.0087559300159315,0.0475128015817473,1.7678571428571428,0.0078354484237592,0.0072280559133998,52.0,0.0301898171304259,0.9264705882352942,0.9387057387057387,0.9325881634705164,60.5,0.0,0.002253844690053667,0.010024055264196589,37.0,59.80791892528871,4234,4243,9
AtelierTAM,0.0085681043164056,0.0253793668876747,1.5535714285714284,0.0076614932595211,0.0063487246249821,52.0,0.0360371744674765,1.0,0.9106846718787017,0.9553423359393509,63.0,0.07089520395972009,0.011035439882536918,0.01868512184768479,42.0,59.06414262084176,5010,5441,431
Hôtel du Département,0.0084998066277726,0.1397703485134253,1.8035714285714284,0.0064229541266946,0.0066780245759737,52.0,0.0283043345566706,0.9130434782608695,0.9106846718787017,0.9118640750697856,60.0,0.052803379416282645,0.00458946940232227,0.01196074063588557,5.0,59.33069620253165,3813,3792,-21
Cité Mion,0.0084876999897649,0.0998977443011533,1.7857142857142856,0.0055632213755182,0.0054131628419546,52.0,0.0309447166809108,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.06302270011947433,0.002932056394319221,0.010306247658885609,54.0,59.91028088355604,3663,3667,4
Providence - Ovalie,0.0067900437030174,0.1357349152841895,1.7857142857142856,0.0039620400584192,0.0038109191829453,52.0,0.0235492784671975,0.9264705882352942,0.9244829244829245,0.9254767563591093,60.5,0.19327103601297152,0.0021857292068820726,0.00938475597882527,8.0,59.61287095698566,2996,2999,3
Jean de Beins,0.0065990500965287,0.1426591159084951,1.6607142857142856,0.0044921403333113,0.0049268574991933,52.0,0.0262491330622791,0.875,0.85937849318131,0.867189246590655,58.5,0.48864994026284364,0.00203679014498292,0.008565899166019008,2.0,58.51865955826352,1302,1313,11
Euromédecine,0.0053600315751113,0.3316656095315856,1.5714285714285714,0.0032220770229094,0.0035391781242392,52.0,0.0184624911864791,0.9402985074626866,0.8972922502334266,0.9187953788480566,61.0,0.28422085680150194,0.0019396110118605097,0.009062845922771503,12.0,59.15310805173133,2405,2397,-8
Perols etang or,0.0026315789473684,0.0,0.1071428571428571,0.0004376628317637,0.0,6.0,0.0233350532312965,0.4921875,0.5649617871840094,0.5285746435920047,31.499999999999996,0.4138504864311316,0.0032394839087204527,0.006184435571415229,0.0,61.44776119402985,1,134,133
Clemenceau,,,,,,,,0.9,0.8972922502334266,0.8986461251167133,59.5,0.07650622973203619,0.0037592141651626586,0.011914973847182143,1.0,59.276069017254315,5318,5332,14
Deux Ponts - Gare Saint-Roch,,,,,,,,0.9130434782608695,0.9244829244829245,0.9187632013718969,60.0,0.041474654377880185,0.003951328345277939,0.011074723500611654,13.0,59.71375233354076,3235,3214,-21
Esplanade,,,,,,,,0.9264705882352942,0.9106846718787017,0.9185776300569979,60.5,0.0,0.02388624981921224,0.03741461273325957,0.0,59.500050833672226,19661,19672,11
Odysseum,,,,,,,,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.004510363392328592,0.012646911547791259,31.0,59.888380758807585,5885,5904,19
Saint-Denis,,,,,,,,0.9402985074626866,0.9387057387057387,0.9395021230842127,61.0,0.0,0.005175678219229273,0.014342504067836687,17.0,59.863958658815044,8325,8321,-4
Station SAV,,,,,,,,0.504,0.49606400825913016,0.500032004129565,32.0,0.0030721966205837174,1.6278433037821155e-06,0.006203696474417084,10.0,3.43921568627451,255,255,0
Station SAV Smoove,,,,,,,,0.5080645161290323,0.5001301066874837,0.504097311408258,32.5,0.06411076975593104,3.4453029535803494e-05,0.0062257224124665335,9.0,6.075829383886256,208,211,3
Smoove,,,,,,,,0.0,0.4846153846153846,0.2423076923076923,0.0,0.0,3.438681029822058e-07,0.006155651733819201,11.0,8.222222222222221,8,9,1
