rang,city,n_dock,n_semi,n_ff,n_total,n_operators,n_dock_ops,total_cap_dock,E_dock,n_types,density_dock,dock_names,population,dock_per_1k_hab,cap_per_1k_hab,S_ville,C1_S,C2_E,log_density,C3_D,log_per_hab,C4_P,C5_M,IMD,revenu_median_uc,taux_chomage,part_cadres,part_diplomes_sup,part_sans_voiture,taux_pauvrete,part_velo,fub_score_2023,fub_rank_2023,emp_part_velo_2019,infra_cyclable_km,infra_cyclable_km_per_km2,gtfs_stops_within_300m_pct,eco_avg_daily_bike_counts,baac_accidents_cyclistes,baac_accidents_cyclistes_per_100k,fragilite_sociale,niveau_socio,quadrant,desert_score,IMD_attendu,IES,cluster,typology,region,department,quadrant_simple,IMD_bs_mean,IMD_ci95_low,IMD_ci95_high,rang_ci95_low,rang_ci95_high,pct_top10
11,Vichy,8,0,46,54,2,1,70,1.0,2,0.51,Vivélo,24000.0,0.3333333333333333,2.916666666666667,0.1734,0.1734,1.0,0.412109650826833,0.253250946511326,0.2876820724517809,0.1945549200131371,0.6666666666666666,0.5218,18000.0,14.0,14.0,35.0,22.0,22.0,1.0,,,2.5,38.71,7.169,,,2.0,8.3,0.324,0.5476315789473685,Mobilité Inclusive ★,38.66066666666666,0.3936217440494368,1.3256,0,C0 — Villes Fragiles,Auvergne-Rhône-Alpes,Allier,Inclusive,0.5214,0.393,0.6453,8.0,20.0,12.2
12,Brest,40,0,75,115,2,1,400,1.0,2,0.35,VéloZef,144000.0,0.2777777777777778,2.7777777777777777,0.123,0.123,1.0,0.3001045924503381,0.1844212382261816,0.245122458032985,0.1657725134193906,0.6666666666666666,0.5056,19000.0,10.5,17.0,42.0,24.0,20.0,1.5,3.3,,2.9,120.95,2.468,,2900.0,22.0,15.3,0.2975,0.6223809523809524,"Villes Favorisées
Bien Équipées",38.31466666666667,0.4092537061024341,1.2354,0,C0 — Villes Fragiles,Bretagne,Finistère,Favorisée,0.5052,0.3654,0.6381,10.0,24.0,4.6
13,Angers,0,26,1223,1249,2,0,0,0.6653,2,0.65,—,154000.0,0.0,0.0,0.2178,0.2178,0.6653,0.5007752879124893,0.3077380386478981,0.0,0.0,0.6666666666666666,0.4867,19500.0,11.0,19.0,44.0,28.0,20.0,3.5,,,,,,,,,,0.295,0.6565413533834586,"Villes Favorisées
Bien Équipées",38.37766666666666,0.4170696871289328,1.167,1,C1 — Villes Moyennes,Pays de la Loire,Maine-et-Loire,Favorisée,0.4862,0.3515,0.5978,12.0,34.0,0.0
14,Besançon,33,56,0,89,2,1,475,0.7844,2,0.1,VéloCité,117000.0,0.282051282051282,4.0598290598290605,0.0973,0.0973,0.7844,0.0953101798043248,0.0585703178733671,0.2484613592984996,0.168030560516687,0.6666666666666666,0.4799,18500.0,12.0,18.0,43.0,26.0,22.0,3.0,3.45,,4.2,146.29,2.254,,2800.0,13.0,11.1,0.31,0.6289348370927318,Mobilité Inclusive ★,38.400333333333336,0.4014377250759354,1.1955,0,C0 — Villes Fragiles,Bourgogne-Franche-Comté,Doubs,Inclusive,0.4798,0.3401,0.6029,13.0,30.0,0.0
15,Strasbourg,39,298,0,337,3,1,516,0.7269,2,0.21,Vélhop - Strasbourg,285000.0,0.1368421052631579,1.810526315789473,0.0823,0.0823,0.7269,0.1906203596086497,0.1171406357467342,0.1282543355236788,0.0867364162684476,0.6666666666666666,0.4665,19500.0,11.5,21.0,45.0,38.0,22.0,10.0,4.1,1.0,9.0,354.53,4.528,,8200.0,70.0,24.6,0.3025,0.6786842105263158,"Villes Favorisées
Bien Équipées",38.445,0.4170696871289328,1.1185,1,C1 — Villes Moyennes,Grand Est,Bas-Rhin,Favorisée,0.4664,0.3242,0.5923,14.0,40.0,0.0
16,Nancy,37,0,0,37,1,1,689,0.8709,1,2.58,VélOstan'lib,104000.0,0.3557692307692308,6.625,0.8112,0.8112,0.8709,1.275362800412609,0.7837400451598415,0.3043689912367956,0.2058400241623656,0.3333333333333333,0.4661,19500.0,12.5,20.0,47.0,32.0,22.0,2.0,3.15,,2.9,101.13,6.742,,2400.0,21.0,20.2,0.3075,0.6801127819548872,"Villes Favorisées
Bien Équipées",38.54633333333334,0.4170696871289328,1.1176,0,C0 — Villes Fragiles,Grand Est,Meurthe-et-Moselle,Favorisée,0.4647,0.3619,0.5917,7.0,28.0,13.2
17,Périgueux,3,0,0,3,1,1,60,1.0,1,0.45,Périvélo,30000.0,0.1,2.0,1.0,1.0,1.0,0.371563556432483,0.2283344303314576,0.0953101798043248,0.0644567951358046,0.3333333333333333,0.4646,18500.0,13.5,16.0,38.0,22.0,22.0,1.5,,,,,,,,,,0.3185,0.5867919799498746,Mobilité Inclusive ★,38.75133333333333,0.4014377250759354,1.1573,0,C0 — Villes Fragiles,Nouvelle-Aquitaine,Dordogne,Inclusive,0.4627,0.3277,0.6367,5.0,44.0,17.0
18,Amiens,45,0,0,45,1,1,850,0.8313,1,2.78,Velam,135000.0,0.3333333333333333,6.296296296296297,0.7495,0.7495,0.8313,1.3297240096314962,0.81714627008217,0.2876820724517809,0.1945549200131371,0.3333333333333333,0.4524,17000.0,15.0,16.0,36.0,26.0,24.0,2.5,3.08,,3.9,179.94,3.657,,2800.0,12.0,8.9,0.3329999999999999,0.5557393483709272,Mobilité Inclusive ★,39.292,0.3779897819964394,1.1969,0,C0 — Villes Fragiles,Hauts-de-France,Somme,Inclusive,0.4511,0.3549,0.5686,9.0,32.0,6.2
19,Carcassonne,10,0,0,10,1,1,86,0.5977,1,2.76,Cyclolibre,48000.0,0.2083333333333333,1.7916666666666667,0.8256,0.8256,0.5977,1.324418957401803,0.813886192343718,0.1892419996385284,0.1279814268196054,0.3333333333333333,0.4423,16500.0,16.0,12.0,30.0,18.0,28.0,1.0,2.65,,1.5,34.88,0.537,,,5.0,10.4,0.364,0.4844360902255639,Mobilité Inclusive ★,39.92566666666667,0.3701738009699407,1.1948,0,C0 — Villes Fragiles,Occitanie,Aude,Inclusive,0.441,0.3402,0.565,8.0,52.0,7.5
20,Auray,11,0,0,11,1,1,170,0.7861,1,1.89,AQTA,14000.0,0.7857142857142857,12.142857142857142,0.5915,0.5915,0.7861,1.0612565021243408,0.6521667549281008,0.5798184952529422,0.3921222480242716,0.3333333333333333,0.4352,20500.0,10.0,16.0,40.0,20.0,18.0,1.5,,,3.5,16.15,0.431,,,1.0,7.1,0.288,0.6248621553884711,"Villes Favorisées
Bien Équipées",38.54933333333334,0.4327016491819302,1.0058,0,C0 — Villes Fragiles,Bretagne,Morbihan,Favorisée,0.4345,0.3726,0.5154,13.0,24.0,0.3
