system_id,city,system_name,n_stations,n_cap_known,mean_capacity,median_capacity,total_capacity,gini_capacity,E_ict,area_bbox_km2,density_st_km2
choletbus,Cholet,Choletbus 2 Roues,16,16,14.875,18.0,238,0.1465,0.8535,22.7,0.7
karu,Pointe-à-Pitre,Karu'Vélo,14,14,12.857142857142858,12.0,180,0.1802,0.8198,56.1,0.25
ti_velo,Landerneau,Ti Vélo,14,14,12.5,12.5,175,0.1,0.9,29.9,0.47
labaule,La Baule,La Baule,14,14,18.571428571428573,16.0,260,0.189,0.811,13.5,1.04
mp_CHATELLERAULT,Châtellerault,CHATELLERAULT,13,13,6.846153846153846,7.0,89,0.0207,0.9793,561.9,0.02
tlpmobilites,Tarbes,TLP Mobilites,13,13,12.76923076923077,14.0,166,0.278,0.722,180.9,0.07
saintbrieuc,Saint-Brieuc,Vélo'Baie,12,11,11.818181818181818,10.0,130,0.0979,0.9021,12.5,0.96
auray-quiberon,Auray,AQTA,11,11,15.454545454545457,10.0,170,0.2139,0.7861,5.8,1.89
cyclolibre,Carcassonne,Cyclolibre,10,10,8.6,5.0,86,0.4023,0.5977,3.6,2.76
calais,Calais,Velect'in,9,9,16.666666666666668,18.0,150,0.2933,0.7067,35.0,0.26
auto-en-velay,Allègre,Auto-en-Velay,9,9,2.333333333333333,2.0,21,0.0952,0.9048,578.6,0.02
dott-ol-vallee,Ol-Vallee,Dott Ol-Vallee,8,0,,,0,,,0.1,62.84
aupa,Bayonne,Citiz AUPA,8,8,1.875,1.5,15,0.2917,0.7083,43.1,0.19
velo-modalis,Royan,VéloModalis - TERRA,8,8,10.0,10.0,80,0.0,1.0,24.9,0.32
vivelo,Vichy,Vivélo,8,7,10.0,10.0,70,0.0,1.0,15.6,0.51
velodaqui,Argelès-sur-Mer,Vélo d'Aqui,6,6,10.0,10.0,60,0.3,0.7,3.5,1.69
mp_LASCAUX,Lascaux,VELO VEZERE LASCAUX,5,5,4.6,5.0,23,0.0696,0.9304,236.1,0.02
velyceo,Saint-Nazaire,VélYcéo,5,5,29.6,30.0,148,0.0108,0.9892,103.4,0.05
mp_ARBRESLE,Courzieu,PAYS DE L'ARBRESLE - VEL'PAR,4,4,5.0,5.0,20,0.0,1.0,106.0,0.04
perivelo,Périgueux,Périvélo,3,3,20.0,20.0,60,0.0,1.0,6.6,0.45
mp_OSSAU,Arundy,VALLEE D'OSSAU,3,3,7.0,7.0,21,0.0,1.0,32.7,0.09
montpellier,Montpellier,Velomagg,53,53,12.5849,8.0,667,0.272,0.728,97.42,0.544
dijon,Dijon,Velodi,40,40,22.025,20.0,881,0.162,0.838,31.7,1.262
mvelo_plus_grenoble,Grenoble,Mvelo+,127,0,0.0,0.0,0,0.0,1.0,1823.69,0.0696
